port	company	operator_or_owner	month	year	K_low	K_central	K_high	K_HPC_low	K_HPC_central	K_HPC_high	K_IPC_low	K_IPC_central	K_IPC_high	K_cluster_low	K_cluster_central	K_cluster_high
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-08-01	2023	1096315.171590404	999500.7173423584	909586.2425975128	1096315.171590404	999500.7173423584	909586.2425975128	11817134.967266949	10809724.216683874	9874579.499474509	12913450.138857353	11809224.934026232	10784165.742072022
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-09-01	2023	1177635.3581836412	1079385.0144581078	988313.53353596	1177635.3581836412	1079385.0144581078	988313.53353596	11807671.031933216	10784688.3984281	9836712.895404946	12985306.390116857	11864073.412886206	10825026.428940905
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-10-01	2023	1173480.0414717912	1073858.4275839357	981694.2381723982	1173480.0414717912	1073858.4275839357	981694.2381723982	11798519.601438526	10760515.397180757	9800206.058890304	12971999.642910317	11834373.824764691	10781900.297062702
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-11-01	2023	1169251.4948046664	1068231.640961398	974965.7798469844	1169251.4948046664	1068231.640961398	974965.7798469844	11789070.574508512	10735593.54881329	9762624.658826446	12958322.06931318	11803825.189774688	10737590.438673431
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-12-01	2023	1165126.4277455767	1062771.4107122456	968465.5993424318	1165126.4277455767	1062771.4107122456	968465.5993424318	11779933.560133	10711530.589675384	9726392.78480885	12945059.987878578	11774302.00038763	10694858.384151282
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-01-01	2024	1148415.256034505	1043651.6243343068	946772.35380049	1148415.256034505	1043651.6243343068	946772.35380049	11756363.059251605	10672945.541665085	9675675.118132949	12904778.31528611	11716597.165999392	10622447.47193344
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-02-01	2024	1132058.3422223488	1025091.1696220275	925959.5146084704	1132058.3422223488	1025091.1696220275	925959.5146084704	11732839.72064909	10634499.484615698	9625221.915556936	12864898.062871438	11659590.654237727	10551181.430165406
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-03-01	2024	1116975.5105675063	1008124.2642767474	907158.0290364536	1116975.5105675063	1008124.2642767474	907158.0290364536	11710876.629538303	10598659.20428886	9578261.957800504	12827852.14010581	11606783.468565607	10485419.986836957
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-04-01	2024	1101281.8323820604	990597.5200211392	887943.0498660689	1101281.8323820604	990597.5200211392	887943.0498660689	11687444.304855874	10560480.741293432	9528316.710054709	12788726.137237934	11551078.26131457	10416259.759920778
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-05-01	2024	1086362.6668800516	974074.4055460988	870037.6484681523	1086362.6668800516	974074.4055460988	870037.6484681523	11664812.504103994	10523664.79011087	9480230.583367871	12751175.170984045	11497739.195656968	10350268.231836023
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-06-01	2024	1071313.5776001457	957535.3852430052	852313.1467059323	1071313.5776001457	957535.3852430052	852313.1467059323	11641472.34925458	10485756.4718018	9430796.51409107	12712785.926854726	11443291.857044807	10283109.660797004
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-07-01	2024	1178386.509993137	1063321.009969331	957171.1818840886	1178386.509993137	1063321.009969331	957171.1818840886	11618929.569516338	10449201.024390375	9383202.538183888	12797316.079509476	11512522.034359707	10340373.720067978
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-08-01	2024	1163586.225411626	1047342.668249198	940446.080378447	1163586.225411626	1047342.668249198	940446.080378447	11595681.221954685	10411560.939267116	9334274.415578416	12759267.44736631	11458903.607516313	10274720.495956862
