port	terminal	year	month	date	L_hours
Haifa	Haifa-Bayport	2022	4	2022-04-30	1047.7383579032603
Haifa	Haifa-Bayport	2022	5	2022-05-31	1047.7383579032603
Haifa	Haifa-Bayport	2022	6	2022-06-30	1047.7383579032603
Haifa	Haifa-Bayport	2022	7	2022-07-31	1452.304171199689
Haifa	Haifa-Bayport	2022	8	2022-08-31	1452.304171199689
Haifa	Haifa-Bayport	2022	9	2022-09-30	1452.304171199689
Haifa	Haifa-Bayport	2022	10	2022-10-31	2778.887581006594
Haifa	Haifa-Bayport	2022	11	2022-11-30	2778.887581006594
Haifa	Haifa-Bayport	2022	12	2022-12-31	2778.887581006594
Haifa	Haifa-Bayport	2023	1	2023-01-31	1645.0814814814814
Haifa	Haifa-Bayport	2023	2	2023-02-28	1645.0814814814814
Haifa	Haifa-Bayport	2023	3	2023-03-31	1645.0814814814814
Haifa	Haifa-Bayport	2023	4	2023-04-30	1715.3092592592593
Haifa	Haifa-Bayport	2023	5	2023-05-31	1715.3092592592593
Haifa	Haifa-Bayport	2023	6	2023-06-30	1715.3092592592593
Haifa	Haifa-Bayport	2023	7	2023-07-31	1585.588888888889
Haifa	Haifa-Bayport	2023	8	2023-08-31	1585.588888888889
Haifa	Haifa-Bayport	2023	9	2023-09-30	1585.588888888889
Haifa	Haifa-Bayport	2023	10	2023-10-31	1074.6962962962964
Haifa	Haifa-Bayport	2023	11	2023-11-30	1074.6962962962964
Haifa	Haifa-Bayport	2023	12	2023-12-31	1074.6962962962964
Haifa	Haifa-Bayport	2024	1	2024-01-31	1065.885
Haifa	Haifa-Bayport	2024	2	2024-02-29	1065.885
Haifa	Haifa-Bayport	2024	3	2024-03-31	1065.885
Haifa	Haifa-Bayport	2024	4	2024-04-30	885.25
Haifa	Haifa-Bayport	2024	5	2024-05-31	885.25
Haifa	Haifa-Bayport	2024	6	2024-06-30	885.25
Haifa	Haifa-Bayport	2024	7	2024-07-31	862.3116666666665
