entity	month	year	pool_type	asset_class_std	engine_bucket	begin_stock_kNIS	dep_rate_monthly_used	investment_kNIS	reconciliation_adjustment_kNIS	end_stock_kNIS
HPC	2024-08	2024	background	mixed	background::mixed	812140.6534375191	0.008205755847094931	-3691.189148246107	0.0	801785.2363736646
HPC	2024-08	2024	mapped_undated	cranes	mapped_undated::cranes	58202.00969857118	0.0025350486138366	1490.5021189743588	0.0	59544.96689353667
HPC	2024-08	2024	mapped_undated	equipment	mapped_undated::equipment	42719.728957603256	0.0107923593727995	0.0	0.0	42258.68229038421
HPC	2024-08	2024	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	53647.15561636738	0.0042653187775606	1989.0672876923077	0.0	55407.40068384648
HPC	2024-08	2024	mapped_undated	other_operational_equipment	mapped_undated::other_operational_equipment	16385.921512118184	0.0110659331391372	1705.739165230769	0.0	17910.335165472705
HPC	2024-08	2024	mapped_undated	spare_parts	mapped_undated::spare_parts	10600.756142933029	0.0107923593727995	366.9993603076923	0.0	10853.348333322776
HPC	2024-09	2024	background	mixed	background::mixed	801785.2363736646	0.008205755847094931	-4152.58779177687	0.0	791053.3946904001
HPC	2024-09	2024	mapped_undated	cranes	mapped_undated::cranes	59544.96689353667	0.0025350486138366	1676.8148838461539	0.0	61070.83239159842
HPC	2024-09	2024	mapped_undated	equipment	mapped_undated::equipment	42258.68229038421	0.0107923593727995	0.0	0.0	41802.611404485426
HPC	2024-09	2024	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	55407.40068384648	0.0042653187775606	2237.7006986538463	0.0	57408.77115594769
HPC	2024-09	2024	mapped_undated	other_operational_equipment	mapped_undated::other_operational_equipment	17910.335165472705	0.0110659331391372	1918.9565608846153	0.0	19631.097154916664
HPC	2024-09	2024	mapped_undated	spare_parts	mapped_undated::spare_parts	10853.348333322776	0.0107923593727995	412.87428034615385	0.0	11149.089378057535
HPC	2024-10	2024	background	mixed	background::mixed	791053.3946904001	0.008205755847094931	-4613.986435307634	0.0	779948.2172362474
HPC	2024-10	2024	mapped_undated	cranes	mapped_undated::cranes	61070.83239159842	0.0025350486138366	1863.1276487179487	0.0	62779.142511316204
HPC	2024-10	2024	mapped_undated	equipment	mapped_undated::equipment	41802.611404485426	0.0107923593727995	0.0	0.0	41351.46259948673
HPC	2024-10	2024	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	57408.77115594769	0.0042653187775606	2486.3341096153845	0.0	59650.23855595492
HPC	2024-10	2024	mapped_undated	other_operational_equipment	mapped_undated::other_operational_equipment	19631.097154916664	0.0110659331391372	2132.173956538461	0.0	21546.03470289091
HPC	2024-10	2024	mapped_undated	spare_parts	mapped_undated::spare_parts	11149.089378057535	0.0107923593727995	458.74920038461534	0.0	11487.51359919469
HPC	2024-11	2024	background	mixed	background::mixed	779948.2172362474	0.008205755847094931	-5075.385078838397	0.0	768472.7675133913
HPC	2024-11	2024	mapped_undated	cranes	mapped_undated::cranes	62779.142511316204	0.0025350486138366	2049.4404135897435	0.0	64669.434746704785
HPC	2024-11	2024	mapped_undated	equipment	mapped_undated::equipment	41351.46259948673	0.0107923593727995	0.0	0.0	40905.18275452219
HPC	2024-11	2024	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	59650.23855595492	0.0042653187775606	2734.967520576923	0.0	62130.77879393316
HPC	2024-11	2024	mapped_undated	other_operational_equipment	mapped_undated::other_operational_equipment	21546.03470289091	0.0110659331391372	2345.3913521923073	0.0	23652.999075647494
HPC	2024-11	2024	mapped_undated	spare_parts	mapped_undated::spare_parts	11487.51359919469	0.0107923593727995	504.62412042307693	0.0	11868.160344555336
HPC	2024-12	2024	background	mixed	background::mixed	768472.7675133913	0.008205755847094931	-5536.7837223691595	0.0	756630.083885666
HPC	2024-12	2024	mapped_undated	cranes	mapped_undated::cranes	64669.434746704785	0.0025350486138366	2235.7531784615385	0.0	66741.24776425409
HPC	2024-12	2024	mapped_undated	equipment	mapped_undated::equipment	40905.18275452219	0.0107923593727995	0.0	0.0	40463.71932202535
HPC	2024-12	2024	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	62130.77879393316	0.0042653187775606	2983.600931538458	0.0	64849.37214801739
HPC	2024-12	2024	mapped_undated	other_operational_equipment	mapped_undated::other_operational_equipment	23652.999075647494	0.0110659331391372	2558.6087478461536	0.0	25949.86531718246
HPC	2024-12	2024	mapped_undated	spare_parts	mapped_undated::spare_parts	11868.160344555336	0.0107923593727995	550.4990404615389	0.0	12290.573933484424
IPC	2018-01	2018	background	mixed	background::mixed	10156429.108630335	0.002312286213654202	19453.461538461506	0.0	10152397.999160955
IPC	2018-01	2018	mapped_undated	land	mapped_undated::land	0.0	0.0023122862136542	1730.769230769228	0.0	1730.769230769228
IPC	2018-02	2018	background	mixed	background::mixed	10152397.999160955	0.002312286213654202	38906.92307692301	0.0	10167829.672308888
IPC	2018-02	2018	mapped_undated	land	mapped_undated::land	1730.769230769228	0.0023122862136542	3461.538461538456	0.0	5188.30565847636
IPC	2018-03	2018	background	mixed	background::mixed	10167829.672308888	0.002312286213654202	58360.38461538452	0.0	10202679.124550208
IPC	2018-03	2018	mapped_undated	land	mapped_undated::land	5188.30565847636	0.0023122862136542	5192.307692307684	0.0	10368.616503137724
IPC	2018-04	2018	background	mixed	background::mixed	10202679.124550208	0.002312286213654202	77813.84615384603	0.0	10256901.45642202
IPC	2018-04	2018	mapped_undated	land	mapped_undated::land	10368.616503137724	0.0023122862136542	6923.076923076912	0.0	17267.718217219764
IPC	2018-05	2018	background	mixed	background::mixed	10256901.45642202	0.002312286213654202	97267.30769230769	0.0	10330451.872281833
IPC	2018-05	2018	mapped_undated	land	mapped_undated::land	17267.718217219764	0.0023122862136542	8653.846153846152	0.0	25881.636464290976
IPC	2018-06	2018	background	mixed	background::mixed	10330451.872281833	0.002312286213654202	116720.76923076919	0.0	10423285.680067508
IPC	2018-06	2018	mapped_undated	land	mapped_undated::land	25881.636464290976	0.0023122862136542	10384.615384615381	0.0	36206.406097723164
IPC	2018-07	2018	background	mixed	background::mixed	10423285.680067508	0.002312286213654202	136174.2307692307	0.0	10535358.291057738
IPC	2018-07	2018	mapped_undated	land	mapped_undated::land	36206.406097723164	0.0023122862136542	12115.38461538461	0.0	48238.07113944204
IPC	2018-08	2018	background	mixed	background::mixed	10535358.291057738	0.002312286213654202	155627.69230769222	0.0	10666625.21963311
IPC	2018-08	2018	mapped_undated	land	mapped_undated::land	48238.07113944204	0.0023122862136542	13846.153846153838	0.0	61972.68475872688
IPC	2018-09	2018	background	mixed	background::mixed	10666625.21963311	0.002312286213654202	175081.1538461537	0.0	10817042.08303769
IPC	2018-09	2018	mapped_undated	land	mapped_undated::land	61972.68475872688	0.0023122862136542	15576.923076923065	0.0	77406.30925105921
IPC	2018-10	2018	background	mixed	background::mixed	10817042.08303769	0.002312286213654202	194534.61538461538	0.0	10986564.601141179
IPC	2018-10	2018	mapped_undated	land	mapped_undated::land	77406.30925105921	0.0023122862136542	17307.692307692305	0.0	94535.01601702045
IPC	2018-11	2018	background	mixed	background::mixed	10986564.601141179	0.002312286213654202	213988.07692307688	0.0	11175148.596201615
