Port	Period	Freq	Year	MonthIndex	TEU_thousands	TEU
Ashdod	01-2015	Monthly	2015	201501	96.537	96537.0
Ashdod	02-2015	Monthly	2015	201502	87.184	87184.0
Ashdod	03-2015	Monthly	2015	201503	122.441	122441.0
Ashdod	04-2015	Monthly	2015	201504	107.726	107726.0
Ashdod	05-2015	Monthly	2015	201505	110.275	110275.0
Ashdod	06-2015	Monthly	2015	201506	122.463	122463.0
Ashdod	07-2015	Monthly	2015	201507	116.615	116615.0
Ashdod	08-2015	Monthly	2015	201508	115.75	115750.0
Ashdod	09-2015	Monthly	2015	201509	95.846	95846.0
Ashdod	10-2015	Monthly	2015	201510	114.184	114184.0
Ashdod	11-2015	Monthly	2015	201511	104.993	104993.0
Ashdod	12-2015	Monthly	2015	201512	112.753	112753.0
Ashdod	01-2016	Monthly	2016	201601	107.585	107585.0
Ashdod	02-2016	Monthly	2016	201602	118.541	118541.0
Ashdod	03-2016	Monthly	2016	201603	127.047	127047.0
Ashdod	04-2016	Monthly	2016	201604	113.17	113170.0
Ashdod	05-2016	Monthly	2016	201605	134.577	134577.0
Ashdod	06-2016	Monthly	2016	201606	124.959	124959.0
Ashdod	07-2016	Monthly	2016	201607	132.733	132733.0
Ashdod	08-2016	Monthly	2016	201608	135.287	135287.0
Ashdod	09-2016	Monthly	2016	201609	119.528	119528.0
Ashdod	10-2016	Monthly	2016	201610	95.417	95417.0
Ashdod	11-2016	Monthly	2016	201611	120.578	120578.0
Ashdod	12-2016	Monthly	2016	201612	113.654	113654.0
Ashdod	01-2017	Monthly	2017	201701	126.983	126983.0
Ashdod	02-2017	Monthly	2017	201702	117.643	117643.0
Ashdod	03-2017	Monthly	2017	201703	126.787	126787.0
Ashdod	04-2017	Monthly	2017	201704	121.339	121339.0
Ashdod	05-2017	Monthly	2017	201705	139.737	139737.0
Ashdod	06-2017	Monthly	2017	201706	140.987	140987.0
Ashdod	07-2017	Monthly	2017	201707	133.204	133204.0
Ashdod	08-2017	Monthly	2017	201708	130.595	130595.0
Ashdod	09-2017	Monthly	2017	201709	115.407	115407.0
Ashdod	10-2017	Monthly	2017	201710	122.074	122074.0
Ashdod	11-2017	Monthly	2017	201711	123.967	123967.0
Ashdod	12-2017	Monthly	2017	201712	126.749	126749.0
Ashdod	01-2018	Monthly	2018	201801	121.784	121784.0
Ashdod	02-2018	Monthly	2018	201802	108.885	108885.0
Ashdod	03-2018	Monthly	2018	201803	122.666	122666.0
Ashdod	04-2018	Monthly	2018	201804	117.145	117145.0
Ashdod	05-2018	Monthly	2018	201805	109.438	109438.0
Ashdod	06-2018	Monthly	2018	201806	132.217	132217.0
Ashdod	07-2018	Monthly	2018	201807	142.318	142318.0
Ashdod	08-2018	Monthly	2018	201808	136.641	136641.0
Ashdod	09-2018	Monthly	2018	201809	95.956	95956.0
Ashdod	10-2018	Monthly	2018	201810	137.108	137108.0
Ashdod	11-2018	Monthly	2018	201811	130.572	130572.0
Ashdod	12-2018	Monthly	2018	201812	122.481	122481.0
Ashdod	01-2019	Monthly	2019	201901	122.983	122983.0
Ashdod	02-2019	Monthly	2019	201902	134.8	134800.0
Ashdod	03-2019	Monthly	2019	201903	117.963	117963.0
Ashdod	04-2019	Monthly	2019	201904	134.523	134523.0
Ashdod	05-2019	Monthly	2019	201905	129.557	129557.0
Ashdod	06-2019	Monthly	2019	201906	138.893	138893.0
Ashdod	07-2019	Monthly	2019	201907	149.568	149568.0
Ashdod	08-2019	Monthly	2019	201908	132.24	132240.0
Ashdod	09-2019	Monthly	2019	201909	127.738	127738.0
Ashdod	10-2019	Monthly	2019	201910	113.143	113143.0
Ashdod	11-2019	Monthly	2019	201911	119.108	119108.0
Ashdod	12-2019	Monthly	2019	201912	117.08	117080.0
Ashdod	01-2020	Monthly	2020	202001	118.457	118457.0
Ashdod	02-2020	Monthly	2020	202002	125.794	125794.0
Ashdod	03-2020	Monthly	2020	202003	119.175	119175.0
Ashdod	Q1-2020	Quarterly	2020	202003	363.440231285615	363440.231285615
Ashdod	04-2020	Monthly	2020	202004	114.099	114099.0
Ashdod	05-2020	Monthly	2020	202005	121.426	121426.0
Ashdod	06-2020	Monthly	2020	202006	136.483	136483.0
Ashdod	Q2-2020	Quarterly	2020	202006	372.009518865418	372009.518865418
Ashdod	07-2020	Monthly	2020	202007	143.321	143321.0
Ashdod	08-2020	Monthly	2020	202008	145.353	145353.0
Ashdod	09-2020	Monthly	2020	202009	136.085	136085.0
Ashdod	Q3-2020	Quarterly	2020	202009	424.749740925265	424749.74092526495
Ashdod	10-2020	Monthly	2020	202010	144.608	144608.0
Ashdod	11-2020	Monthly	2020	202011	138.073	138073.0
Ashdod	12-2020	Monthly	2020	202012	141.625	141625.0
Ashdod	Q4-2020	Quarterly	2020	202012	424.331806131712	424331.806131712
Ashdod	01-2021	Monthly	2021	202101	133.397	133397.0
Ashdod	02-2021	Monthly	2021	202102	119.323	119323.0
Ashdod	03-2021	Monthly	2021	202103	136.831	136831.0
Ashdod	Q1-2021	Quarterly	2021	202103	389.525919054056	389525.919054056
Ashdod	04-2021	Monthly	2021	202104	130.945	130945.0
Ashdod	05-2021	Monthly	2021	202105	139.946	139946.0
Ashdod	06-2021	Monthly	2021	202106	145.913	145913.0
Ashdod	Q2-2021	Quarterly	2021	202106	416.742646700406	416742.646700406
Ashdod	07-2021	Monthly	2021	202107	150.512	150512.0
Ashdod	08-2021	Monthly	2021	202108	152.686	152686.0
Ashdod	09-2021	Monthly	2021	202109	105.359	105359.0
Ashdod	Q3-2021	Quarterly	2021	202109	408.566326442004	408566.326442004
Ashdod	10-2021	Monthly	2021	202110	136.624	136624.0
Ashdod	Q4-2021	Quarterly	2021	202112	397.4326401498	397432.6401498001
Ashdod	Q1-2022	Quarterly	2022	202203	360.499	360499.0
Ashdod	Q2-2022	Quarterly	2022	202206	374.179	374179.0
Ashdod	Q3-2022	Quarterly	2022	202209	374.345	374345.0
Ashdod	Q4-2022	Quarterly	2022	202212	322.016	322016.0
Ashdod	Q1-2023	Quarterly	2023	202303	302.791	302791.0
Ashdod	Q2-2023	Quarterly	2023	202306	290.606	290606.0
Ashdod	Q3-2023	Quarterly	2023	202309	288.594	288594.0
