PortOrTerminal	Month-Year	tons_k
Eilat	09-2015	86.7434245236932
Eilat	10-2015	262.663
Eilat	11-2015	225.685166312595
Eilat	12-2015	252.301801
Eilat	01-2016	66.575
Eilat	02-2016	31.603
Eilat	03-2016	82.012
Eilat	04-2016	134.913
Eilat	05-2016	81.146261
Eilat	06-2016	109.438
Eilat	07-2016	230.526
Eilat	08-2016	300.294
Eilat	09-2016	273.664
Eilat	10-2016	153.287
Eilat	11-2016	321.732
Eilat	12-2016	324.226
Eilat	01-2017	104.170075
Eilat	02-2017	82.0125
Eilat	03-2017	99.278
Eilat	04-2017	124.359
Eilat	05-2017	190.489
Eilat	06-2017	220.037
Eilat	07-2017	252.576
Eilat	08-2017	243.677
Eilat	09-2017	131.8355
Eilat	10-2017	227.02
Eilat	11-2017	236.296
Eilat	12-2017	259.705
Eilat	01-2018	235.342
Eilat	02-2018	143.998
Eilat	03-2018	92.165
Eilat	04-2018	163.796
Eilat	05-2018	130.582
Eilat	06-2018	208.187
Eilat	07-2018	98.125
Eilat	08-2018	214.126
Eilat	09-2018	181.031
Eilat	10-2018	216.039
Eilat	11-2018	277.215
Eilat	12-2018	329.459
Eilat	01-2019	153.945
Eilat	02-2019	174.59
Eilat	03-2019	195.815
Eilat	04-2019	234.732
Eilat	05-2019	131.689
Eilat	06-2019	230.609
Eilat	07-2019	142.114
Eilat	08-2019	240.841
Eilat	09-2019	78.7281
Eilat	10-2019	79.243
Eilat	11-2019	118.829
Eilat	12-2019	163.582
Eilat	01-2020	83.739
Eilat	02-2020	97.705
Eilat	03-2020	188.808
Eilat	04-2020	198.485
Eilat	05-2020	173.082
Eilat	06-2020	254.197
Eilat	07-2020	162.743
Eilat	08-2020	226.083
Eilat	09-2020	168.687
Eilat	10-2020	218.152
Eilat	11-2020	201.229
Eilat	12-2020	251.661
Eilat	01-2021	65.234
Eilat	02-2021	144.99
Eilat	03-2021	193.833
Eilat	04-2021	82.998
Eilat	05-2021	213.627
Eilat	06-2021	211.342
Eilat	07-2021	97.941
Eilat	08-2021	167.596
Eilat	09-2021	146.613
Eilat	10-2021	92.53
Eilat	11-2021	134.7549
Eilat	12-2021	291.595
Eilat	01-2022	102.228
Eilat	02-2022	116.677
Eilat	03-2022	234.597
Eilat	04-2022	90.607
Eilat	05-2022	185.141
Eilat	06-2022	126.3434
Eilat	07-2022	137.996
Eilat	08-2022	164.769
Eilat	09-2022	179.088
Eilat	10-2022	75.8
Eilat	11-2022	245.167
Eilat	12-2022	196.666
Eilat	01-2023	47.403
Eilat	02-2023	134.08
Eilat	03-2023	125.788
Eilat	04-2023	153.532
Eilat	05-2023	261.819
Eilat	06-2023	163.351
Eilat	07-2023	197.467
Eilat	08-2023	169.099
Eilat	09-2023	172.079
Eilat	10-2023	147.994
Eilat	11-2023	128.864
Eilat	12-2023	160.862
Eilat	01-2024	102.461
Eilat	02-2024	76.167
Eilat	03-2024	47.832
Eilat	04-2024	51.3
Eilat	05-2024	27.94
Eilat	06-2024	47.905
Eilat	07-2024	0.0
Eilat	08-2024	47.97
Eilat	09-2024	46.728
Eilat	10-2024	64.625
Eilat	11-2024	72.05
Eilat	12-2024	83.863
Eilat	01-2025	54.373
Eilat	02-2025	22.741
Eilat	03-2025	74.36
Eilat	04-2025	7.608
Eilat	05-2025	27.428
Eilat	06-2025	53.941
Eilat	07-2025	51.555
Eilat	08-2025	28.213
Haifa	01-2008	1575.343
Haifa	02-2008	1212.838
Haifa	03-2008	1785.073
Haifa	04-2008	1769.23
Haifa	05-2008	1813.838
Haifa	06-2008	1688.466
Haifa	07-2008	1763.813
Haifa	08-2008	1733.596
Haifa	09-2008	1469.086
Haifa	10-2008	1692.932
Haifa	11-2008	1596.689
Haifa	12-2008	1711.888
Haifa	01-2010	1674.912
Haifa	02-2010	1615.84
Haifa	03-2010	1954.48
Haifa	04-2010	1877.809
Haifa	05-2010	1899.701
Haifa	06-2010	1939.198
Haifa	07-2010	1990.747
Haifa	08-2010	1936.847
Haifa	09-2010	1774.372
Haifa	10-2010	1767.6993
Haifa	11-2010	1721.2412
Haifa	12-2010	1684.6319
Haifa	01-2011	1525.1705
Haifa	02-2011	1737.4248
Haifa	03-2011	2080.6368
Haifa	04-2011	1911.0605
Haifa	05-2011	2014.7001
Haifa	06-2011	2141.5379
Haifa	07-2011	1949.4211
Haifa	08-2011	2038.212
Haifa	09-2011	1656.8881
Haifa	10-2011	2000.2853
Haifa	11-2011	1854.5202
Haifa	12-2011	1642.3836
Haifa	01-2012	2052.1335
Haifa	02-2012	1620.4159
Haifa	03-2012	2278.5645
Haifa	04-2012	2064.3992
Haifa	05-2012	2277.2827
Haifa	06-2012	1909.4088
Haifa	07-2012	2015.1073
Haifa	08-2012	2057.2286
Haifa	09-2012	1826.9068
Haifa	10-2012	1994.132
Haifa	11-2012	1874.5255
Haifa	12-2012	2018.0114
Haifa	01-2013	2187.5714
Haifa	02-2013	2106.7279
Haifa	03-2013	2219.355
Haifa	04-2013	2419.2726
Haifa	05-2013	2464.0144
Haifa	06-2013	2137.9809
Haifa	07-2013	2271.8384
Haifa	08-2013	2358.9082
Haifa	09-2013	1915.923
Haifa	10-2013	1745.3619
Haifa	11-2013	1842.2824
