port	date	TEU	tons	LP_port	L_hours
Haifa	2024-08-01		874817.0		91.0
Haifa	2024-09-01		904670.1		91.0
Haifa	2024-10-01		908064.5		91.0
Haifa	2024-11-01		965822.5		91.0
Haifa	2024-12-01		851457.7000000001		91.0
Haifa	2025-01-01		990758.5		
Haifa	2025-02-01		937137.5		
Haifa	2025-03-01		1068912.8		
Haifa	2025-04-01		990340.1		
Haifa	2025-05-01		1057106.8		
Haifa	2025-06-01		796281.3999999999		
Haifa	2025-07-01		914763.3		
Haifa	2025-08-01		735513.5		
