port	terminal	year	month	quarter	TEU_port_m	share_i_p_q	TEU_i_m	Pi_teu_per_hour_i_y	H_annual_i_y	w_i_m_in_year	L_hours_i_m
Ashdod	Ashdod-Legacy	2020	5	2.0	121426.0	1.0	121426.0	39.0	40628.179487179485	0.0766336867363122	3113.4871794871797
Ashdod	Ashdod-Legacy	2020	6	2.0	136483.0	1.0	136483.0	39.0	40628.179487179485	0.0861363749677342	3499.5641025641025
Ashdod	Ashdod-Legacy	2020	7	3.0	143321.0	1.0	143321.0	39.0	40628.179487179485	0.0904519346493749	3674.897435897436
Ashdod	Ashdod-Legacy	2020	8	3.0	145353.0	1.0	145353.0	39.0	40628.179487179485	0.0917343589361684	3726.999999999999
Ashdod	Ashdod-Legacy	2020	9	3.0	136085.0	1.0	136085.0	39.0	40628.179487179485	0.0858851914706162	3489.358974358974
Ashdod	Ashdod-Legacy	2020	10	4.0	144608.0	1.0	144608.0	39.0	40628.179487179485	0.0912641787719651	3707.897435897435
Ashdod	Ashdod-Legacy	2020	11	4.0	138073.0	1.0	138073.0	39.0	40628.179487179485	0.0871398467275776	3540.333333333333
Ashdod	Ashdod-Legacy	2020	12	4.0	141625.0	1.0	141625.0	39.0	40628.179487179485	0.0893815647722087	3631.410256410256
Ashdod	Ashdod-Legacy	2021	1	1.0	133397.0	1.0	133397.0	39.0	41342.409399789845	0.0827343144024229	3420.435897435897
Ashdod	Ashdod-Legacy	2021	2	1.0	119323.0	1.0	119323.0	39.0	41342.409399789845	0.074005461872758	3059.564102564102
Ashdod	Ashdod-Legacy	2021	3	1.0	136831.0	1.0	136831.0	39.0	41342.409399789845	0.0848641196878335	3508.487179487179
Ashdod	Ashdod-Legacy	2021	4	2.0	130945.0	1.0	130945.0	39.0	41342.409399789845	0.08121355652245	3357.564102564102
Ashdod	Ashdod-Legacy	2021	5	2.0	139946.0	1.0	139946.0	39.0	41342.409399789845	0.0867960775981579	3588.358974358974
Ashdod	Ashdod-Legacy	2021	6	2.0	145913.0	1.0	145913.0	39.0	41342.409399789845	0.0904968778713219	3741.358974358974
Ashdod	Ashdod-Legacy	2021	7	3.0	153718.73848734246	0.979161274241945	150515.43585213055	39.0	41342.409399789845	0.0933513601670793	3859.3701500546294
