port	date	TEU	tons	L_hours	LP_port
Ashdod	2022-04-01	268435.98443703866	23690.2	66.6	0.0
Ashdod	2022-04-01	268435.98443703866	1853583.6	66.6	0.0
Ashdod	2022-04-01	268435.98443703866	23690.2	66.6	0.0
Ashdod	2022-05-01	268435.98443703866	2106472.8	66.6	0.0
Ashdod	2022-05-01	268435.98443703866	56551.6	66.6	0.0
Ashdod	2022-05-01	268435.98443703866	2106472.8	66.6	0.0
Ashdod	2022-05-01	268435.98443703866	56551.6	66.6	0.0
Ashdod	2022-06-01	268435.98443703866	1862577.5	66.6	0.0
Ashdod	2022-06-01	268435.98443703866	65319.074	66.6	0.0
Ashdod	2022-06-01	268435.98443703866	1862577.5	66.6	0.0
Ashdod	2022-06-01	268435.98443703866	65319.074	66.6	0.0
Ashdod	2022-07-01	296267.89334081305	1773857.1	66.6	0.0
Ashdod	2022-07-01	296267.89334081305	114924.8	66.6	0.0
Ashdod	2022-07-01	296267.89334081305	1773857.1	66.6	0.0
Ashdod	2022-07-01	296267.89334081305	114924.8	66.6	0.0
Ashdod	2022-08-01		1982143.7	66.6	
Ashdod	2022-08-01		140682.368	66.6	
Ashdod	2022-08-01		1982143.7	66.6	
Ashdod	2022-08-01		140682.368	66.6	
Ashdod	2022-09-01	592535.7866816261	1612166.0	66.6	0.0
Ashdod	2022-09-01	592535.7866816261	200778.11	66.6	0.0
Ashdod	2022-09-01	592535.7866816261	1612166.0	66.6	0.0
Ashdod	2022-09-01	592535.7866816261	200778.11	66.6	0.0
Ashdod	2022-10-01		1478682.1	66.6	
Ashdod	2022-10-01		130114.5656	66.6	
Ashdod	2022-10-01		1478682.1	66.6	
Ashdod	2022-10-01		130114.5656	66.6	
Ashdod	2022-11-01		1613172.0	66.6	
Ashdod	2022-11-01		241208.515	66.6	
Ashdod	2022-11-01		1613172.0	66.6	
Ashdod	2022-11-01		241208.515	66.6	
Ashdod	2022-12-01	783644.5283437005	1754065.1	66.6	0.0
Ashdod	2022-12-01	783644.5283437005	187668.07	66.6	0.0
Ashdod	2022-12-01	783644.5283437005	1754065.1	66.6	0.0
Ashdod	2022-12-01	783644.5283437005	187668.07	66.6	0.0
Ashdod	2023-01-01		1812451.1	63.0	
Ashdod	2023-01-01		258278.23665	63.0	
Ashdod	2023-01-01		1812451.1	63.0	
Ashdod	2023-01-01		258278.23665	63.0	
Ashdod	2023-02-01		1508859.5	63.0	
Ashdod	2023-02-01		283199.840693	63.0	
Ashdod	2023-02-01		1508859.5	63.0	
Ashdod	2023-02-01		283199.840693	63.0	
Ashdod	2023-03-01	782231.9999999999	1710729.4	63.0	0.0
Ashdod	2023-03-01	782231.9999999999	278018.026541	63.0	0.0
Ashdod	2023-03-01	782231.9999999999	1710729.4	63.0	0.0
Ashdod	2023-03-01	782231.9999999999	278018.026541	63.0	0.0
Ashdod	2023-04-01		1328739.8	63.0	
Ashdod	2023-04-01		391020.456997	63.0	
Ashdod	2023-04-01		1328739.8	63.0	
Ashdod	2023-04-01		391020.456997	63.0	
Ashdod	2023-05-01		1703804.9	63.0	
Ashdod	2023-05-01		534109.988779999	63.0	
Ashdod	2023-05-01		1703804.9	63.0	
Ashdod	2023-05-01		534109.988779999	63.0	
Ashdod	2023-06-01	882299.5	1825308.2	63.0	0.0
Ashdod	2023-06-01	882299.5	515324.783153	63.0	0.0
Ashdod	2023-06-01	882299.5	1825308.2	63.0	0.0
Ashdod	2023-06-01	882299.5	515324.783153	63.0	0.0
Ashdod	2023-07-01		1688590.8	63.0	
Ashdod	2023-07-01		354185.78699562	63.0	
Ashdod	2023-07-01		1688590.8	63.0	
Ashdod	2023-07-01		354185.78699562	63.0	
Ashdod	2023-08-01		1693768.3	63.0	
Ashdod	2023-08-01		448523.403704	63.0	
Ashdod	2023-08-01		1693768.3	63.0	
Ashdod	2023-08-01		448523.403704	63.0	
Ashdod	2023-09-01	874564.5	1601157.0	63.0	0.0
Ashdod	2023-09-01	874564.5	484714.013363	63.0	0.0
Ashdod	2023-09-01	874564.5	1601157.0	63.0	0.0
Ashdod	2023-09-01	874564.5	484714.013363	63.0	0.0
Ashdod	2023-10-01		1353355.6	63.0	
Ashdod	2023-10-01		339460.035671	63.0	
Ashdod	2023-10-01		1353355.6	63.0	
Ashdod	2023-10-01		339460.035671	63.0	
Ashdod	2023-11-01		1405591.0	63.0	
Ashdod	2023-11-01		250565.69282	63.0	
Ashdod	2023-11-01		1405591.0	63.0	
Ashdod	2023-11-01		250565.69282	63.0	
Ashdod	2023-12-01	654930.5	1368176.6	63.0	0.0
Ashdod	2023-12-01	654930.5	145001.31436999998	63.0	0.0
Ashdod	2023-12-01	654930.5	1368176.6	63.0	0.0
Ashdod	2023-12-01	654930.5	145001.31436999998	63.0	0.0
Ashdod	2024-01-01		1322543.7999999998	99.0	
Ashdod	2024-01-01		172316.843482	99.0	
Ashdod	2024-01-01		1322543.7999999998	99.0	
Ashdod	2024-01-01		172316.843482	99.0	
Ashdod	2024-02-01		1688545.2	99.0	
Ashdod	2024-02-01		301566.288237	99.0	
Ashdod	2024-02-01		1688545.2	99.0	
Ashdod	2024-02-01		301566.288237	99.0	
Ashdod	2024-03-01	765995.5000000001	1676087.4	99.0	0.0
Ashdod	2024-03-01	765995.5000000001	404137.175067999	99.0	0.0
Ashdod	2024-03-01	765995.5000000001	1676087.4	99.0	0.0
Ashdod	2024-03-01	765995.5000000001	404137.175067999	99.0	0.0
Ashdod	2024-04-01		1550867.2999999998	99.0	
Ashdod	2024-04-01		447052.43409	99.0	
Ashdod	2024-04-01		1550867.2999999998	99.0	
Ashdod	2024-04-01		447052.43409	99.0	
Ashdod	2024-05-01		1674636.9	99.0	
Ashdod	2024-05-01		612965.040907001	99.0	
Ashdod	2024-05-01		1674636.9	99.0	
Ashdod	2024-05-01		612965.040907001	99.0	
Ashdod	2024-06-01	894492.0	1530292.5	99.0	0.0
Ashdod	2024-06-01	894492.0	557492.796	99.0	0.0
Ashdod	2024-06-01	894492.0	1530292.5	99.0	0.0
Ashdod	2024-06-01	894492.0	557492.796	99.0	0.0
Ashdod	2024-07-01		1701165.7	99.0	
Ashdod	2024-07-01		618378.3988699999	99.0	
Ashdod	2024-07-01		1701165.7	99.0	
Ashdod	2024-07-01		618378.3988699999	99.0	
Ashdod	2024-08-01		1743592.9	99.0	
Ashdod	2024-08-01		604186.649428001	99.0	
Ashdod	2024-08-01		1743592.9	99.0	
Ashdod	2024-08-01		604186.649428001	99.0	
Ashdod	2024-09-01	1056189.0	1776113.7000000002	99.0	0.0
Ashdod	2024-09-01	1056189.0	561265.311859	99.0	0.0
Ashdod	2024-09-01	1056189.0	1776113.7000000002	99.0	0.0
Ashdod	2024-09-01	1056189.0	561265.311859	99.0	0.0
Ashdod	2024-10-01		1431902.7000000002	99.0	
Ashdod	2024-10-01		486900.451499	99.0	
Ashdod	2024-10-01		1431902.7000000002	99.0	
Ashdod	2024-10-01		486900.451499	99.0	
Ashdod	2024-11-01		1590222.6	99.0	
Ashdod	2024-11-01		560874.9182579999	99.0	
Ashdod	2024-11-01		1590222.6	99.0	
Ashdod	2024-11-01		560874.9182579999	99.0	
Ashdod	2024-12-01	979527.5000000001	2013631.6	99.0	0.0
Ashdod	2024-12-01	979527.5000000001	524650.456194001	99.0	0.0
Ashdod	2024-12-01	979527.5000000001	2013631.6	99.0	0.0
Ashdod	2024-12-01	979527.5000000001	524650.456194001	99.0	0.0
Ashdod	2025-01-01		1870507.5		
Ashdod	2025-01-01		445801.59		
Ashdod	2025-01-01		1870507.5		
Ashdod	2025-01-01		445801.59		
Ashdod	2025-02-01		1485993.5		
Ashdod	2025-02-01		500210.112		
Ashdod	2025-02-01		1485993.5		
Ashdod	2025-02-01		500210.112		
Ashdod	2025-03-01		1896035.5		
Ashdod	2025-03-01		525431.921		
Ashdod	2025-03-01		1896035.5		
Ashdod	2025-03-01		525431.921		
Ashdod	2025-04-01		1655904.2		
Ashdod	2025-04-01		598791.196		
Ashdod	2025-04-01		1655904.2		
Ashdod	2025-04-01		598791.196		
Ashdod	2025-05-01		1806261.0		
Ashdod	2025-05-01		542021.422		
Ashdod	2025-05-01		1806261.0		
Ashdod	2025-05-01		542021.422		
Ashdod	2025-06-01		1755260.6		
Ashdod	2025-06-01		501414.744		
Ashdod	2025-06-01		1755260.6		
Ashdod	2025-06-01		501414.744		
Ashdod	2025-07-01		1764887.7		
Ashdod	2025-07-01		914638.271		
Ashdod	2025-07-01		1764887.7		
Ashdod	2025-07-01		914638.271		
Ashdod	2025-08-01		1714340.0		
Ashdod	2025-08-01		604286.0090000001		
Ashdod	2025-08-01		1714340.0		
Ashdod	2025-08-01		604286.0090000001		
Haifa	2008-01-01	111821.0	1575343.0		
Haifa	2008-02-01	107855.0	1212838.0		
Haifa	2008-03-01	121856.0	1785073.0		
Haifa	2008-04-01	116791.0	1769230.0		
Haifa	2008-05-01	117909.0	1813838.0		
Haifa	2008-06-01	116313.0	1688466.0		
Haifa	2008-07-01	121686.0	1763813.0		
Haifa	2008-08-01	96541.0	1733596.0		
Haifa	2008-09-01	62096.0	1469086.0		
Haifa	2008-10-01	91875.0	1692932.0		
Haifa	2008-11-01	101028.0	1596689.0		
Haifa	2008-12-01	85347.0	1711888.0		
Haifa	2010-01-01	93407.0	1674912.0		
Haifa	2010-02-01	88625.0	1615840.0		
Haifa	2010-03-01	115287.0	1954480.0		
Haifa	2010-04-01	105094.0	1877809.0		
Haifa	2010-05-01	114218.0	1899701.0		
Haifa	2010-06-01	114558.0	1939198.0		
Haifa	2010-07-01	110988.0	1990747.0		
