model	spec_id	dep_scenario	delta	param	beta	se	tvalue	pvalue	n_obs	r2	dep_var	formula	description
2A	2A_baseline	high	0.08	C(time_fe)[T.33]	4.908378171784481	0.10972272259880268	44.73438186301478	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.34]	4.90904885115039	0.10924202399213664	44.93736633352516	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.35]	4.909730357210318	0.10876190987233537	45.142002038888016	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.36]	4.744281865012352	0.11312490588265117	41.938438118426184	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.37]	4.7448905349764665	0.11274971114127753	42.08339415638084	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.38]	4.745489621813462	0.1123883207606314	42.22404596577764	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.39]	4.84804421292169	0.11204929480439436	43.267065815853385	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.40]	4.848624825001903	0.1117145170527827	43.40192262310039	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.41]	4.847557877152163	0.11373684617402678	42.62082201343088	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	log_KL	0.049304361175805715				84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	Intercept	-1.3736935468760465	0.028436929209949613	-48.30667674185487	0.0	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(unit_id)[T.Haifa--Legacy]	0.009693139728455119	5.001945761318059e-10	19378738.177082684	0.0	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.1]	-0.009342042076520896	0.01741606778605009	-0.536403635498231	0.5916796193797128	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.2]	-0.030401958661162652	0.03483156387020483	-0.8728278401294726	0.3827569225636548	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.3]	1.2808594169140841	0.05168609525596025	24.781508654716575	1.4189129944245736e-135	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.4]	1.2715145496599818	0.06910046258454292	18.40095568252255	1.2906824633560609e-75	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.5]	1.2597193953178314	0.08595389010195675	14.655757800183073	1.2376801496161368e-48	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.6]	3.4436133834651224	0.08687394883668188	39.63919482857768	0.0	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.7]	3.4431483814298964	0.0877940037132391	39.21849142085177	0.0	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.8]	3.4427312030060415	0.0886290881101251	38.84425843046375	0.0	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.9]	4.438601163833994	0.08954913732928564	49.566096293173544	0.0	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.10]	4.438152098072684	0.09044086161119146	49.07242167984269	0.0	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.11]	4.437687087227749	0.09136090379749805	48.57315222125984	0.0	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.12]	5.055652964257285	0.09225262229744051	54.802268362159616	0.0	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	low	0.04	C(time_fe)[T.13]	5.0551879485286815	0.09317265744886676	54.25613143322625	0.0	84	0.9983890174642445	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
