terminal	year	month	date	LP	log_LP	delta	scenario	K	L	KL	log_KL	t_index
Haifa--Bayport	2022	6	2022-06-01	27.865006081181804	3.3273716392587556	0.08	high	1435892.7936530851	3304.4263011656717	434.5361835264895	6.074279217478655	11
Haifa--Bayport	2022	7	2022-07-01	51.83817740872656	3.948126893415286	0.08	high	1462859.8071201502	3154.5523981500437	463.72975385605577	6.139301955515381	12
Haifa--Bayport	2022	8	2022-08-01	51.83817740872656	3.948126893415286	0.08	high	1491257.8941384351	3154.5523981500437	472.7320094644707	6.1585286517419435	13
Haifa--Bayport	2022	9	2022-09-01	51.83817740872656	3.948126893415286	0.08	high	1520207.2652526896	3154.5523981500437	481.909023335355	6.177755347968506	14
Haifa--Bayport	2022	10	2022-10-01	82.60565916291942	4.414078191048307	0.08	high	1548757.760091863	3898.703183843473	397.24946656879007	5.984564462606081	15
Haifa--Bayport	2022	11	2022-11-01	82.60565916291942	4.414078191048307	0.08	high	1578823.359971812	3898.703183843473	404.96115901168827	6.003791158832644	16
Haifa--Bayport	2022	12	2022-12-01	82.60565916291942	4.414078191048307	0.08	high	1608474.7037202248	3898.703183843473	412.566596602139	6.022397639051898	17
Haifa--Bayport	2023	1	2023-01-01	50.09284147902468	3.913878113231629	0.08	high	1597124.1652246052	2803.3808012093723	569.7135988573544	6.3451337764092095	18
Haifa--Bayport	2023	2	2023-02-01	50.09284147902468	3.913878113231629	0.08	high	1585853.7241802188	2803.3808012093723	565.6932955722908	6.338052050718495	19
Haifa--Bayport	2023	3	2023-03-01	50.09284147902468	3.913878113231629	0.08	high	1575742.34621565	2803.3808012093723	562.0864441733631	6.331655653320432	20
Haifa--Bayport	2023	4	2023-04-01	48.71723718811278	3.886032913832124	0.08	high	1564622.7904535786	3018.370483749055	518.3667143836476	6.250682934611742	21
Haifa--Bayport	2023	5	2023-05-01	48.71723718811278	3.886032913832124	0.08	high	1553936.64720397	3018.370483749055	514.8263460600297	6.243829651685244	22
Haifa--Bayport	2023	6	2023-06-01	48.71723718811278	3.886032913832124	0.08	high	1542970.967922196	3018.370483749055	511.19336616547616	6.23674792599453	23
Haifa--Bayport	2023	7	2023-07-01	46.80826410937859	3.8460597708682944	0.08	high	1532432.7034319902	2789.650113378685	549.327923269913	6.308695573336391	24
Haifa--Bayport	2023	8	2023-08-01	46.80826410937859	3.8460597708682944	0.08	high	1521618.7712314895	2789.650113378685	545.4514757725588	6.301613847645677	25
Haifa--Bayport	2023	9	2023-09-01	46.80826410937859	3.8460597708682944	0.08	high	1510881.1498075568	2789.650113378685	541.6023832385391	6.294532121954963	26
Haifa--Bayport	2023	10	2023-10-01	34.38165722348395	3.537523201919321	0.08	high	1500562.0540494716	2389.492214663643	627.9836547869642	6.442514138720187	27
Haifa--Bayport	2023	11	2023-11-01	34.38165722348395	3.537523201919321	0.08	high	1489973.0237587492	2389.492214663643	623.5521566528666	6.435432413029473	28
Haifa--Bayport	2023	12	2023-12-01	34.38165722348395	3.537523201919321	0.08	high	1479796.7274226064	2389.492214663643	619.293387248349	6.4285791301029755	29
Haifa--Bayport	2024	1	2024-01-01	54.39438732897602	3.996260974439378	0.08	high	1469382.662783365	2406.315894308943	610.6358131359762	6.414500730948918	30
Haifa--Bayport	2024	2	2024-02-01	54.39438732897602	3.996260974439378	0.08	high	1459041.887090031	2406.315894308943	606.3384655941217	6.4074383542355005	31
Haifa--Bayport	2024	3	2024-03-01	54.39438732897602	3.996260974439378	0.08	high	1449434.1502680755	2406.315894308943	602.3457492410117	6.400831614729402	32
Haifa--Bayport	2024	4	2024-04-01	52.30615859508527	3.9571141193024366	0.08	high	1439233.762166457	2087.916666666667	689.315711275094	6.535699382719174	33
Haifa--Bayport	2024	5	2024-05-01	52.30615859508527	3.9571141193024366	0.08	high	1429430.77309371	2087.916666666667	684.6206057523256	6.528864824609415	34
Haifa--Bayport	2024	6	2024-06-01	52.30615859508527	3.9571141193024366	0.08	high	1419371.1586936656	2087.916666666667	679.8025904739168	6.521802447895998	35
Haifa--Bayport	2024	7	2024-07-01	44.27021009830393	3.7903119925720454	0.08	high	1409703.4588907524	2266.458008130081	621.9852535692088	6.432916384370049	36
Haifa--Bayport	2024	8	2024-08-01	44.27021009830393	3.7903119925720454	0.08	high	1399782.6754000224	2266.458008130081	617.6080343773497	6.425854007656633	37
Haifa--Bayport	2024	9	2024-09-01	44.27021009830393	3.7903119925720454	0.08	high	1389931.709390727	2266.458008130081	613.2616198512659	6.418791630943215	38
Haifa--Bayport	2024	10	2024-10-01	49.02924397763479	3.892416935956961	0.08	high	1380464.5292027695	2260.8255284552847	610.6019734065794	6.414445312209376	39
Haifa--Bayport	2024	11	2024-11-01	49.02924397763479	3.892416935956961	0.08	high	1370749.5145842866	2260.8255284552847	606.3048640117113	6.407382935495961	40
