port	terminal	year	month	month_index	quarter	TEU_port_m	share_i_p_q	TEU_i_m	tons_port_m	tons_i_m	tons_i_q	tons_i_y	TEU_i_q	TEU_i_y	Pi_teu_per_hour_i_y	H_annual_i_y	quarter_index	tons_weight_q_in_y	L_hours_i_q	tons_weight_m_in_q	L_hours_i_m	w_i_m_in_year	anchor_mode	labor_weight_source_q	labor_weight_source	teu_month_source	kpi_backfill_source
Ashdod	Ashdod-Legacy	2018	3	201803	Q1	122666.0	0.3333333333333333	122666.0	1899461.314	1899461.314	5755743.407000001	23475047.112999998	353335.0	1477211.0	41.0	36029.53658536585	20181	0.24518559555148192	8833.923385126833	0.33001146501595596	2915.295998164419	0.08091405758875421	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2018	4	201804	Q2	117145.0	0.3333333333333333	117145.0	1925889.287	1925889.287	5879561.419	23475047.112999998	358800.0	1477211.0	41.0	36029.53658536585	20182	0.25046004767095953	9023.959450733311	0.3275566236584287	2955.8576897127723	0.0820398475764286	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2018	5	201805	Q2	109438.0	0.3333333333333333	109438.0	1982586.069	1982586.069	5879561.419	23475047.112999998	358800.0	1477211.0	41.0	36029.53658536585	20182	0.25046004767095953	9023.959450733311	0.3371996527824689	3042.8759935103512	0.08445504111052815	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2018	6	201806	Q2	132217.0	0.3333333333333333	132217.0	1971086.063	1971086.063	5879561.419	23475047.112999998	358800.0	1477211.0	41.0	36029.53658536585	20182	0.25046004767095953	9023.959450733311	0.3352437235591025	3025.2257675101887	0.0839651589840028	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2018	7	201807	Q3	142318.0	0.3333333333333333	142318.0	2204184.377	2204184.377	5918912.203	23475047.112999998	374915.0	1477211.0	41.0	36029.53658536585	20183	0.2521363290351919	9084.355091473288	0.3723968697969214	3382.9854001883778	0.09389477969479207	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2018	8	201808	Q3	136641.0	0.3333333333333333	136641.0	2189938.196	2189938.196	5918912.203	23475047.112999998	374915.0	1477211.0	41.0	36029.53658536585	20183	0.2521363290351919	9084.355091473288	0.3699899780385372	3361.1203407884755	0.09328791484244803	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2018	9	201809	Q3	95956.0	0.3333333333333333	95956.0	1524789.63	1524789.63	5918912.203	23475047.112999998	374915.0	1477211.0	41.0	36029.53658536585	20183	0.2521363290351919	9084.355091473288	0.2576131521645414	2340.2493504964345	0.06495363449795176	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2018	10	201810	Q4	137108.0	0.3333333333333333	137108.0	2025302.49	2025302.49	5920830.084	23475047.112999998	390161.0	1477211.0	41.0	36029.53658536585	20184	0.25221802774236673	9087.298658032421	0.34206394395154543	3108.4372188321563	0.08627469330523427	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2018	11	201811	Q4	130572.0	0.3333333333333333	130572.0	2055397.323	2055397.323	5920830.084	23475047.112999998	390161.0	1477211.0	41.0	36029.53658536585	20184	0.25221802774236673	9087.298658032421	0.3471468179021636	3154.6268124625567	0.08755668574832223	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2018	12	201812	Q4	122481.0	0.3333333333333333	122481.0	1840130.271	1840130.271	5920830.084	23475047.112999998	390161.0	1477211.0	41.0	36029.53658536585	20184	0.25221802774236673	9087.298658032421	0.310789238146291	2824.234626737709	0.07838664868881025	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2019	1	201901	Q1	122983.0	0.3333333333333333	122983.0	1957516.591	1957516.591	5713379.44	23589920.325999998	375746.0	1537596.0	42.0	36609.42857142857	20191	0.2421957921452965	8866.649552843794	0.3426197422308783	3037.889184246873	0.08298105987422487	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2019	2	201902	Q1	134800.0	0.3333333333333333	134800.0	1858875.069	1858875.069	5713379.44	23589920.325999998	375746.0	1537596.0	42.0	36609.42857142857	20191	0.2421957921452965	8866.649552843794	0.32535473768568746	2884.8064394164103	0.07879954842201022	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
