design	table_group	reform	target	target_key	spec_name	bin_label	a	b	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	y2_q5_8	5	8	0.18369997581260122	0.1379530410473525	1.331612369092654	0.1829875982842969	4	31	0.24910611499668867	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	y3_q9_12	9	12	0.0	0.0			0	31	0.24910611499668867	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	y4p_q13_40	13	40	0.0	0.0			0	31	0.24910611499668867	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	pre_8_5	-8	-5	-0.8482185323357742	0.030178676352323845	-28.10655187236066	8.146767014075565e-174	2	28	0.8970271780336675	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	pre_4_2	-4	-2	-1.0696374255617587	0.3856654722267288	-2.7734850604747154	0.0055459386760321255	3	28	0.8970271780336675	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q0	0	0	0.35199325409143745	6.653297293329639e-14	5290508428720.5	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q1	1	1	-0.6595894915464082	7.419903177467837e-14	-8889462244593.654	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q2	2	2	-0.9642757602457811	6.940110639459345e-14	-13894241898150.791	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q3	3	3	-1.349165844565943	6.671608120480651e-14	-20222498387221.566	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q4	4	4	-0.7161915072033528	6.607426987825598e-14	-10839189120408.885	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	y2_q5_8	5	8	-1.1939061398911768	0.15083755136449226	-7.915178475724228	2.4689865463647335e-15	3	28	0.8970271780336675	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	y3_q9_12	9	12	0.0	0.0			0	28	0.8970271780336675	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	y4p_q13_40	13	40	0.0	0.0			0	28	0.8970271780336675	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	pre_8_5	-8	-5	-0.6734788568105035	0.05894201695414481	-11.426125056671383	3.096195223667634e-30	2	28	0.8349536799473694	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	pre_4_2	-4	-2	-0.7215335858031873	0.10955193172938364	-6.586224217255496	4.511523601164593e-11	3	28	0.8349536799473694	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q0	0	0	0.5057184474370997	0.012577085313096504	40.20951077675331	0.0	1	28	0.8349536799473694	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q1	1	1	-0.5141914781387622	0.025154170626193014	-20.44159935861034	7.136190695428428e-93	1	28	0.8349536799473694	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q2	2	2	-0.781230535676003	0.0377312559392896	-20.705129374251936	3.1139768597308305e-95	1	28	0.8349536799473694	HC1
