table_group	reform	reform_order	row_key	row_label	row_order	row_type	series_id	series_display	spec_name	spec_display	column_key	column_label	column_order	beta	se	pvalue	n_obs	r2	a_used	b_used	n_months_used	value_display
main	privatization	2	post_full	Average full post	5	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	-0.26022083618869446	0.0044767320099859485	0.0	84	0.9923175883783979	1.0	23.0	23.0	-0.260*** (0.004)
main	privatization	2	post_full	Average full post	5	estimate	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3	-0.19451095670218108			84	0.7222217556872796	1.0	23.0	23.0	-0.195
main	privatization	2	post_full	Average full post	5	estimate	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4	-0.11346713619143006	0.00980733930079064	0.0	84	0.78118418203827	1.0	23.0	23.0	-0.113*** (0.010)
main	privatization	2	pretrend_p	Pre-period joint p-value	6	summary	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1				84	0.9683680856562481				0.000
main	privatization	2	pretrend_p	Pre-period joint p-value	6	summary	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2				84	0.9923175883783979				0.000
main	privatization	2	pretrend_p	Pre-period joint p-value	6	summary	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3				84	0.7222217556872796				0.000
main	privatization	2	pretrend_p	Pre-period joint p-value	6	summary	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4				84	0.78118418203827				0.000
main	privatization	2	n_obs	Observations	7	summary	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1				84	0.9683680856562481				84
main	privatization	2	n_obs	Observations	7	summary	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2				84	0.9923175883783979				84
main	privatization	2	n_obs	Observations	7	summary	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3				84	0.7222217556872796				84
main	privatization	2	n_obs	Observations	7	summary	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4				84	0.78118418203827				84
main	privatization	2	r2	R^2	8	summary	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1				84	0.9683680856562481				0.968
main	privatization	2	r2	R^2	8	summary	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2				84	0.9923175883783979				0.992
main	privatization	2	r2	R^2	8	summary	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3				84	0.7222217556872796				0.722
main	privatization	2	r2	R^2	8	summary	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4				84	0.78118418203827				0.781
