entity	port	terminal	year	month	month_index	t_index	LP	log_LP	K	L	KL	log_KL	lp_freq	kl_freq	source_lp	source_kl	lp_source_file	kl_source_file
Haifa port cluster	Haifa		2020	10.0	24250.0	34	55.82235420196423	4.022174402101754	13701227.540128252	2382.092297986978	5751.76182371551	8.657261490983675	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	11.0	24251.0	35	58.83479375953784	4.074733410505446	13772722.807706391	2131.5108286526456	6461.483855755168	8.773614269433171	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	12.0	24252.0	36	52.63254085176432	3.9633345758322114	13858422.691154543	2184.409077338815	6344.243317299224	8.755303116504036	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2021	1.0	24253.0	37	46.78051084807605	3.845466681320351	13830870.434196308	2717.6274413264255	5089.318066145854	8.534899125352164	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2021	2.0	24254.0	38	48.13663537679232	3.8740435374485265	13813809.834960813	2553.7306261182134	5409.266621029028	8.595868802767727	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2021	3.0	24255.0	39	46.40153180538172	3.8373324717343107	13807207.77414829	2721.3325743128707	5073.693639828117	8.531824359902815	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2021	4.0	24256.0	40	44.374756442449254	3.7926707591596553	13811031.285742791	2746.71930105297	5028.191734207517	8.522815702278134	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2021	5.0	24257.0	41	50.61633628040826	3.9242743755795915	13825247.5559838	2647.583959012671	5221.8353676457045	8.560604222076098	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2021	6.0	24258.0	42	47.880801534570715	3.8687146210377623	13849823.922346102	2717.728104573316	5096.103579692173	8.536231522730713	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2021	7.0	24259.0	43	46.39002477765269	3.8370844528797563	13884727.872528091	2556.8643381526936	5430.373315214547	8.59976316106469	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2021	8.0	24260.0	44	48.18616230158172	3.8750718906597648	13929927.04344828	2604.4821584781084	5348.444026811085	8.584560961478951	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
