port	company	operator_or_owner	month	year	imputed_2022	flows_imputed_annual	gap_years_from_prev_annual	K_big_central	K_PIM_real_central	gap_PathB_minus_PIM_central	K_bg_low	K_bg_central	K_bg_high	K_PathB_low	K_PathB_central	K_PathB_high	lumpy_event_month	num_projects_commissioned	K_PIM_lin_low	K_PIM_lin_central	K_PIM_lin_high	K_PIM_real_low	K_PIM_real_high	flows_imputed_flag	gap_years_from_prev
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-02-01	2024	0	True	1	300565.3904448736			865038.8657590951	759785.1610445837	663120.1159994166	1165604.2562039685	1060350.5514894573	963685.5064442902	0	0	1165610.311216446	1060348.2009944797	963719.7674255158				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-03-01	2024	0	True	1	299818.60978051065			865965.2351010813	759354.5216635591	661591.1297940817	1165783.8448815919	1059173.1314440698	961409.7395745923	0	0	1165836.643807659	1059214.7641910084	961499.9428192164				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-04-01	2024	0	True	1	299073.75592843845			866956.589043864	758894.4529242539	659960.5945964983	1166030.3449723024	1057968.2088526923	959034.3505249368	0	0	1166078.5855430935	1058003.1593321254	959127.0268607588				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-05-01	2024	0	True	1	298330.82371096214			867917.0443884309	758449.4905123187	658386.4836163329	1166247.868099393	1056780.3142232809	956717.307327295	0	0	1166312.7227064178	1056830.6385009484	956830.65657838				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-06-01	2024	0	True	1	297589.8079648827			868910.6327555926	757989.9701025866	656763.8464816969	1166500.4407204753	1055579.7780674691	954353.6544465796	0	0	1166554.6644418524	1055619.0336420657	954457.740619922				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-07-01	2024	0	True	1	296850.70354145486			869873.2528818223	757545.5380158571	655197.3602542042	1166723.956423277	1054396.241557312	952048.0637956591	0	0	1166788.8016051764	1054446.5128108887	952161.3703375435				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-08-01	2024	0	True	1	296113.5053063444			870869.0807095583	757086.5652821757	653582.5829255078	1166982.5860159027	1053200.07058852	949696.0882318523	0	0	1167030.7433406112	1053234.9079520055	949788.4543790856				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-09-01	2024	0	True	1	295378.2081395872			871866.0485574746	756627.8706254674	651971.7853225846	1167244.256697062	1052006.0787650547	947349.9934621718	0	0	1167272.685076046	1052023.3030931228	947415.5384206276				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-10-01	2024	0	True	1	294644.8069355467			872831.9428325351	756184.2371782158	650416.728923101	1167476.7497680818	1050829.0441137624	945061.5358586477	0	0	1167506.82223937	1050850.782261946	945119.1681382492				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-11-01	2024	0	True	1	293913.29660287243			873831.1577580775	755726.0892133891	648813.7337772364	1167744.4543609498	1049639.3858162616	942727.0303801089	0	0	1167748.763974805	1049639.177403063	942746.2521797912				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-12-01	2024	0	True	1	293183.67206445854	1048466.656571886	2.3283064365386963e-10	874799.2290736706	755282.9845074277	647266.2098329541	1167982.9011381292	1048466.6565718863	940449.8818974127	0	0	1167982.9011381287	1048466.656571886	940449.8818974126	1167982.9011381287	940449.8818974126	True	1.0
