port	company	operator_or_owner	month	year	K_low	K_central	K_high	K_HPC_low	K_HPC_central	K_HPC_high	K_IPC_low	K_IPC_central	K_IPC_high	K_SIPG_low	K_SIPG_central	K_SIPG_high	K_cluster_low	K_cluster_central	K_cluster_high
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-08-01	2019	12011418.933366198	11859304.05558318	11706203.202167058	1155488.5102024933	1139744.4780604609	1123850.3539878898	12011418.933366198	11859304.05558318	11706203.202167058	0.0	0.0	0.0	13166907.443568692	12999048.533643642	12830053.556154948
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-08-01	2019	0.0	0.0	0.0	1155488.5102024933	1139744.4780604609	1123850.3539878898	12011418.933366198	11859304.05558318	11706203.202167058	0.0	0.0	0.0	13166907.443568692	12999048.533643642	12830053.556154948
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-09-01	2019	1153519.5455446846	1135809.9293193764	1117974.5348996297	1153519.5455446846	1135809.9293193764	1117974.5348996297	12065925.301275471	11893766.180889446	11720775.396106653	0.0	0.0	0.0	13219444.846820155	13029576.110208822	12838749.931006283
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-09-01	2019	13219444.846820155	13029576.110208822	12838749.931006283	1153519.5455446846	1135809.9293193764	1117974.5348996297	12065925.301275471	11893766.180889446	11720775.396106653	0.0	0.0	0.0	13219444.846820155	13029576.110208822	12838749.931006283
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-09-01	2019	12065925.301275471	11893766.180889446	11720775.396106653	1153519.5455446846	1135809.9293193764	1117974.5348996297	12065925.301275471	11893766.180889446	11720775.396106653	0.0	0.0	0.0	13219444.846820155	13029576.110208822	12838749.931006283
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-09-01	2019	0.0	0.0	0.0	1153519.5455446846	1135809.9293193764	1117974.5348996297	12065925.301275471	11893766.180889446	11720775.396106653	0.0	0.0	0.0	13219444.846820155	13029576.110208822	12838749.931006283
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-10-01	2019	1151588.566588818	1131985.8994665574	1112290.0163836123	1151588.566588818	1131985.8994665574	1112290.0163836123	12118908.891552309	11927211.97217858	11734894.790601576	0.0	0.0	0.0	13270497.458141126	13059197.871645138	12847184.806985188
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-10-01	2019	13270497.458141126	13059197.871645138	12847184.806985188	1151588.566588818	1131985.8994665574	1112290.0163836123	12118908.891552309	11927211.97217858	11734894.790601576	0.0	0.0	0.0	13270497.458141126	13059197.871645138	12847184.806985188
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-10-01	2019	12118908.891552309	11927211.97217858	11734894.790601576	1151588.566588818	1131985.8994665574	1112290.0163836123	12118908.891552309	11927211.97217858	11734894.790601576	0.0	0.0	0.0	13270497.458141126	13059197.871645138	12847184.806985188
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-10-01	2019	0.0	0.0	0.0	1151588.566588818	1131985.8994665574	1112290.0163836123	12118908.891552309	11927211.97217858	11734894.790601576	0.0	0.0	0.0	13270497.458141126	13059197.871645138	12847184.806985188
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-11-01	2019	1149627.693416324	1128078.268541962	1106478.5079907852	1149627.693416324	1128078.268541962	1106478.5079907852	12173903.03590502	11961871.432094032	11749502.700595671	0.0	0.0	0.0	13323530.729321344	13089949.700635994	12855981.208586456
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-11-01	2019	13323530.729321344	13089949.700635994	12855981.208586456	1149627.693416324	1128078.268541962	1106478.5079907852	12173903.03590502	11961871.432094032	11749502.700595671	0.0	0.0	0.0	13323530.729321344	13089949.700635994	12855981.208586456
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-11-01	2019	12173903.03590502	11961871.432094032	11749502.700595671	1149627.693416324	1128078.268541962	1106478.5079907852	12173903.03590502	11961871.432094032	11749502.700595671	0.0	0.0	0.0	13323530.729321344	13089949.700635994	12855981.208586456
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-11-01	2019	0.0	0.0	0.0	1149627.693416324	1128078.268541962	1106478.5079907852	12173903.03590502	11961871.432094032	11749502.700595671	0.0	0.0	0.0	13323530.729321344	13089949.700635994	12855981.208586456
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-12-01	2019	1147704.70367839	1124280.376518424	1100856.049358457	1147704.70367839	1124280.376518424	1100856.049358457	12227360.775317356	11995508.738331612	11763656.70134583	0.0	0.0	0.0	13375065.478995746	13119789.114850037	12864512.750704287
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-12-01	2019	13375065.478995746	13119789.114850037	12864512.750704287	1147704.70367839	1124280.376518424	1100856.049358457	12227360.775317356	11995508.738331612	11763656.70134583	0.0	0.0	0.0	13375065.478995746	13119789.114850037	12864512.750704287
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-12-01	2019	12227360.775317356	11995508.738331612	11763656.70134583	1147704.70367839	1124280.376518424	1100856.049358457	12227360.775317356	11995508.738331612	11763656.70134583	0.0	0.0	0.0	13375065.478995746	13119789.114850037	12864512.750704287
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-12-01	2019	0.0	0.0	0.0	1147704.70367839	1124280.376518424	1100856.049358457	12227360.775317356	11995508.738331612	11763656.70134583	0.0	0.0	0.0	13375065.478995746	13119789.114850037	12864512.750704287
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-01-01	2020	1131478.7046260603	1105738.0108498854	1079991.112282096	1131478.7046260603	1105738.0108498854	1079991.112282096	12232454.824541518	11980984.877683142	11729961.604806283	0.0	0.0	0.0	13363933.52916758	13086722.888533028	12809952.717088379
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2020-01-01	2020	13363933.52916758	13086722.888533028	12809952.717088379	1131478.7046260603	1105738.0108498854	1079991.112282096	12232454.824541518	11980984.877683142	11729961.604806283	0.0	0.0	0.0	13363933.52916758	13086722.888533028	12809952.717088379
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2020-01-01	2020	12232454.824541518	11980984.877683142	11729961.604806283	1131478.7046260603	1105738.0108498854	1079991.112282096	12232454.824541518	11980984.877683142	11729961.604806283	0.0	0.0	0.0	13363933.52916758	13086722.888533028	12809952.717088379
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-01-01	2020	0.0	0.0	0.0	1131478.7046260603	1105738.0108498854	1079991.112282096	12232454.824541518	11980984.877683142	11729961.604806283	0.0	0.0	0.0	13363933.52916758	13086722.888533028	12809952.717088379
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-02-01	2020	1115532.0199911497	1087575.3131069066	1059625.7505323526	1115532.0199911497	1087575.3131069066	1059625.7505323526	12237550.99600109	11966478.602160258	11696363.022434074	0.0	0.0	0.0	13353083.015992241	13054053.915267166	12755988.772966428
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2020-02-01	2020	13353083.015992241	13054053.915267166	12755988.772966428	1115532.0199911497	1087575.3131069066	1059625.7505323526	12237550.99600109	11966478.602160258	11696363.022434074	0.0	0.0	0.0	13353083.015992241	13054053.915267166	12755988.772966428
