family	series_id	series_display	is_main_series	reform	reform_display	spec_name	event_time	event_token	is_reference	observed_in_sample	beta	se	pvalue	n_obs	r2
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	21	21	0	1	0.4316192507728242	1.6968624882578752e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	22	22	0	1	0.47822822559821354	1.528079932285683e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	23	23	0	1	0.444018650101832	1.5813567179958477e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-12	-12	0	1	2.4738376594312577	2.9252703520040394e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-11	-11	0	1	2.2969856130102797	2.728827112183282e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-10	-10	0	1	1.9111927220913412	2.864355503204281e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-9	-9	0	1	1.4009558610616013	2.911534663431852e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-8	-8	0	1	0.8945685810389223	2.9967361692339315e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-7	-7	0	1	0.995888513583913	2.8007920594745607e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-6	-6	0	1	0.6572577827203547	2.605935812910928e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-5	-5	0	1	0.5502922410870836	2.437344071901782e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-4	-4	0	1	0.4107945819642014	2.0786930330882532e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-3	-3	0	1	0.3451238146763219	1.7341613779624057e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	-2	-2	0	1	0.07348830322599387	1.294309815524051e-13	0.0	36	1.0
