port	year	month	month_index	quarter	tons_port_m	TEU_port_m	L_hours_port_m
Haifa	2020	2	202002	Q1	2352277.288	120547.0	2623.634884949111
Haifa	2020	3	202003	Q1	2597155.57	129194.0	2623.634884949111
Haifa	2020	4	202004	Q2	2293926.19	132637.0	2304.6957395468435
Haifa	2020	5	202005	Q2	2317983.4639999997	120993.0	2304.6957395468435
Haifa	2020	6	202006	Q2	1967243.95	112028.0	2304.6957395468435
Haifa	2020	7	202007	Q3	1982088.98	124557.0	2226.396076742002
Haifa	2020	8	202008	Q3	2307125.04	113777.0	2226.396076742002
Haifa	2020	9	202009	Q3	2066419.62	113342.0	2226.396076742002
Haifa	2020	10	202010	Q4	2266698.5	132974.0	2232.6707346594794
Haifa	2020	11	202011	Q4	2028255.7489999998	125407.0	2232.6707346594794
Haifa	2020	12	202012	Q4	2078591.4899999998	114971.0	2232.6707346594794
Haifa	2021	1	202101	Q1	1498345.5	127132.0	2711.6076441931177
Haifa	2021	2	202102	Q1	1407982.0999999999	122928.0	2711.6076441931177
Haifa	2021	3	202103	Q1	1500388.3	126274.0	2711.6076441931177
Haifa	2021	4	202104	Q2	1514385.0999999999	121885.0	2752.095288583881
Haifa	2021	5	202105	Q2	1459727.5	134011.0	2752.095288583881
Haifa	2021	6	202106	Q2	1498401.0	130127.0	2752.095288583881
Haifa	2021	7	202107	Q3	1380398.8	121219.3201102416	2512.9353157131686
Haifa	2021	8	202108	Q3	1403292.5	123468.86949050722	2512.9353157131686
Haifa	2021	9	202109	Q3	1291716.4	111811.94831382045	2512.9353157131686
Haifa	2021	10	202110	Q4	1492880.5	130478.46468712144	2655.2979514065228
Haifa	2021	11	202111	Q4	1367014.1	120494.79483340096	2655.2979514065228
Haifa	2021	12	202112	Q4	1424899.7	126340.67682062853	2655.2979514065228
Haifa	2022	1	202201	Q1	1461499.1	129769.08469563707	3409.93861821052
Haifa	2022	2	202202	Q1	1459075.3	130689.53196932572	3409.93861821052
Haifa	2022	3	202203	Q1	1592099.4000000001	145506.13333503722	3409.93861821052
Haifa	2022	4	202204	Q2	1425364.8	145351.26918266682	3116.603257635801
Haifa	2022	5	202205	Q2	1323138.6	140243.87221216442	3116.603257635801
Haifa	2022	6	202206	Q2	1286279.2	135190.85860516876	3116.603257635801
Haifa	2022	7	202207	Q3	1109435.5	126783.52644127823	2520.4374245157833
Haifa	2022	8	202208	Q3	1157608.5	132034.17283312225	2520.4374245157833
Haifa	2022	9	202209	Q3	938265.2000000001	105197.55072559949	2520.4374245157833
Haifa	2022	10	202210	Q4	926270.6	140656.93839462573	2022.7140408514495
Haifa	2022	11	202211	Q4	764510.0	93274.77131676266	2022.7140408514495
Haifa	2022	12	202212	Q4	799310.5	96110.54028861159	2022.7140408514495
Haifa	2023	1	202301	Q1	926311.6	156009.4354391012	2492.7738896474934
Haifa	2023	2	202302	Q1	816343.7999999999	151874.70963866188	2492.7738896474934
Haifa	2023	3	202303	Q1	889686.5	84471.85492223696	2492.7738896474934
Haifa	2023	4	202304	Q2	992506.2000000001	105935.7461691156	3053.9458811219297
Haifa	2023	5	202305	Q2	1172930.9000000001	169420.74838583983	3053.9458811219297
Haifa	2023	6	202306	Q2	1065118.8	147760.25544504458	3053.9458811219297
Haifa	2023	7	202307	Q3	1067451.6	131445.2064377424	2923.5189644258608
Haifa	2023	8	202308	Q3	1090791.9	151986.66880387234	2923.5189644258608
Haifa	2023	9	202309	Q3	934315.9	107619.62475838527	2923.5189644258608
Haifa	2023	10	202310	Q4	1164266.4	147914.3445231669	2530.6548778054716
Haifa	2023	11	202311	Q4	835100.9	103068.06703837676	2530.6548778054716
Haifa	2023	12	202312	Q4	707471.4	87376.5884384563	2530.6548778054716
Haifa	2024	1	202401	Q1	737276.8999999999	106280.84320827015	2137.1462392174435
Haifa	2024	2	202402	Q1	850760.9	122154.12064016542	2137.1462392174435
Haifa	2024	3	202403	Q1	772148.2999999999	96320.78615156442	2137.1462392174435
Haifa	2024	4	202404	Q2	755350.9	98103.67357274897	2033.398958551319
Haifa	2024	5	202405	Q2	756037.2999999999	88352.3603482159	2033.398958551319
Haifa	2024	6	202406	Q2	725921.5	94259.46607903513	2033.398958551319
Haifa	2024	7	202407	Q3	806388.5	94278.8500653163	2370.3855614502595
Haifa	2024	8	202408	Q3	874817.0	102032.87623379241	2370.3855614502595
Haifa	2024	9	202409	Q3	904670.1000000001	105745.02370089127	2370.3855614502595
Haifa	2024	10	202410	Q4	908064.5	101085.32686055537	2480.5853383419535
Haifa	2024	11	202411	Q4	965822.5	107689.3903532858	2480.5853383419535
Haifa	2024	12	202412	Q4	851457.7000000001	94731.28278615884	2480.5853383419535
