port	terminal	year	month	month_index	quarter	TEU_port_m	share_i_p_q	TEU_i_m	tons_port_m	tons_i_m	TEU_i_y	Pi_teu_per_hour_i_y	H_annual_i_y	quarter_index	tons_port_q	activity_i_q_raw	activity_i_y	w_i_q_in_year	L_hours_i_q	active_months_in_q	is_active_month	w_i_m_in_year	L_hours_i_m	anchor_mode	labor_weight_source	teu_month_source	kpi_backfill_source
Haifa	Haifa-Legacy	2021	6	202106	Q2	130127.0	0.3333333333333333	130127.0	1498401.0	1498401.0	1463186.862546447	47.0	31131.63537332866	20212	8945027.2	2981675.733333333	11242881.271430518	0.2652056587051329	8256.285865751643	3	1.0	0.0884018862350443	2752.095288583881	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2021	7	202107	Q3	121219.3201102416	0.3266683871353822	118232.19027838326	1380398.8	1374029.0	1463186.862546447	47.0	31131.63537332866	20213	8150815.4	2662613.7205562354	11242881.271430518	0.2368266333401785	7372.800395839437	3	1.0	0.07894221111339282	2457.600131946479	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2021	8	202108	Q3	123468.86949050722	0.3266683871353822	120139.31097906349	1403292.5	1396192.5	1463186.862546447	47.0	31131.63537332866	20213	8150815.4	2662613.7205562354	11242881.271430518	0.2368266333401785	7372.800395839437	3	1.0	0.07894221111339282	2457.600131946479	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2021	9	202109	Q3	111811.94831382045	0.3266683871353822	111000.47394083423	1291716.4	1289986.0	1463186.862546447	47.0	31131.63537332866	20213	8150815.4	2662613.7205562354	11242881.271430518	0.2368266333401785	7372.800395839437	3	1.0	0.07894221111339282	2457.600131946479	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2021	10	202110	Q4	130478.46468712144	0.3104911264399495	122687.89031662703	1492880.5	1474797.7	1463186.862546447	47.0	31131.63537332866	20214	8569588.6	2660781.21754095	11242881.271430518	0.23666364104567283	7367.726179158225	3	1.0	0.07888788034855762	2455.908726386075	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2021	11	202111	Q4	120494.79483340096	0.3104911264399495	112100.54443884299	1367014.1	1347530.1	1463186.862546447	47.0	31131.63537332866	20214	8569588.6	2660781.21754095	11242881.271430518	0.23666364104567283	7367.726179158225	3	1.0	0.07888788034855762	2455.908726386075	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2021	12	202112	Q4	126340.67682062853	0.3104911264399495	116669.452592696	1424899.7	1402451.7	1463186.862546447	47.0	31131.63537332866	20214	8569588.6	2660781.21754095	11242881.271430518	0.23666364104567283	7367.726179158225	3	1.0	0.07888788034855762	2455.908726386075	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	1	202201	Q1	129769.08469563707	0.2910728907702783	116089.67886553338	1461499.1	1391269.7110000001	1070600.0	47.0	22778.72340425532	20221	9025347.600000001	2627034.016138594	6864218.006115511	0.3827142456428541	8717.7419443668	3	1.0	0.1275714152142847	2905.9139814556	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	2	202202	Q1	130689.53196932572	0.2910728907702783	115046.05549063777	1459075.3	1378762.47	1070600.0	47.0	22778.72340425532	20221	9025347.600000001	2627034.016138594	6864218.006115511	0.3827142456428541	8717.7419443668	3	1.0	0.1275714152142847	2905.9139814556	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	3	202203	Q1	145506.13333503722	0.2910728907702783	123360.26564382884	1592099.4000000001	1478403.617	1070600.0	47.0	22778.72340425532	20221	9025347.600000001	2627034.016138594	6864218.006115511	0.3827142456428541	8717.7419443668	3	1.0	0.1275714152142847	2905.9139814556	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
