reform	target	spec_name	event_time	beta	se	t	pvalue	n_obs	r2
haifa_comp	Haifa-Bayport terminal	porttr	7	0.46294506200481234	1.1273658557808369e-10	4106431462.607735	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	8	0.46305898312577276	8.973028379025007e-11	5160565235.7926445	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	9	0.4631729042586641	1.5107002740610184e-10	3065948369.848222	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	10	0.02252940247934676	4.935719541796009e-11	456456293.5265314	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	11	0.022643323608764865	4.791233762533551e-11	472599015.8491312	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	12	0.022757244728373482	5.384099582429734e-11	422675033.7723806	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	13	0.15425480625118615	5.725414817916201e-11	2694211880.831512	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-24	2.6269749417941326	1.8690893936527696e-11	140548384187.24445	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-23	2.705605374867264	4.489545822185578e-11	60264567553.742775	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-22	2.3902669228921547	2.5574002971653925e-11	93464715928.1835	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-21	2.451753663680244	3.069768333810375e-11	79867709777.20605	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-20	2.666777642658537	1.05384467807465e-11	253052247465.03235	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-19	2.6263064681093167	4.177263250904342e-11	62871461776.81628	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-18	2.6425731969866804	4.8608294846042073e-11	54364655360.91216	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-17	2.452226835192651	4.254389564128157e-11	57639922208.091934	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-16	2.5405422032407383	1.5545902195500525e-11	163421985504.06754	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-15	2.5468588473607303	5.516366271472424e-11	46169139647.80886	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-14	2.4796541134761476	4.821621609375967e-12	514278040536.04987	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-13	2.7273461100256027	3.595050984847176e-11	75863906284.53189	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-12	2.631139080608408	2.3161970418597703e-11	113597376779.98923	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-11	2.545567757775648	2.65390338973952e-11	95917875820.84874	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-10	2.4548642132726317	2.209770703920074e-11	111091354814.22432	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-9	2.571967170292241	6.324418983325751e-11	40667248281.197044	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-8	2.6075992498219116	3.076314921761466e-11	84763729206.52829	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-7	2.5215358525224554	3.539221990599979e-11	71245484437.52739	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-6	2.6034506764337455	2.139207528862425e-11	121701641440.00526	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-5	2.693728453742162	5.220829877294972e-11	51595790651.15684	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-4	2.597249815711284	2.5380675647505567e-11	102331783904.52122	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-3	2.638253045751481	2.938922961317568e-11	89769384243.01903	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	-2	-2.630835305581037	1.9836599854985954e-11	-132625315064.75761	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	0	-4.196573827744002	1.432589294851669e-10	-29293628277.311104	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	1	1.2417976573538247	4.005443692700258e-11	31002749074.13991	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	2	1.2419100735918904	1.510642623778614e-10	8221071311.263977	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	3	1.2420224898465593	1.0235258384112547e-10	12134744851.917576	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	4	0.6156818495208767	5.563932733429815e-11	11065587580.19613	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	5	0.6157942657851623	5.554583729343978e-11	11086236085.19968	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	6	0.6159066820249479	1.039368268794734e-10	5925779153.708069	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	7	0.4661868460840046	1.1273880051501889e-10	4135105606.53783	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	8	0.4662992623214577	8.974225484750249e-11	5195983353.815125	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	9	0.4664116785708401	1.5107836436979525e-10	3087216892.4810567	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	10	0.025766671908013183	4.935663765447225e-11	522050794.63467956	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	11	0.025879088153924146	4.7910355362184286e-11	540156464.2609717	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	12	0.02599150439002429	5.3843960865770536e-11	482719026.8342146	0.0	91	1.0
haifa_comp	Haifa-Legacy terminal	porttr	13	0.15748756102933337	5.725752555750781e-11	2750512871.380678	0.0	91	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-24	-0.3233071815432127	2.2289410997246375e-12	-145049674746.0729	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-23	-0.4402933800978319	2.923850158487747e-12	-150586848241.75714	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-22	-0.4758087011944774	2.5398388894092415e-12	-187338143052.5103	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-21	-0.3896285454274917	1.7037296178905127e-12	-228691537281.5515	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-20	-0.4714266109034577	1.796617782287674e-12	-262396718740.68817	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-19	-0.5615876297413092	3.603225011813825e-12	-155856941462.17416	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-18	-0.464992233262548	1.5681092188155953e-12	-296530514382.00214	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-17	-0.5058787048450579	2.6422260968022012e-12	-191459279528.4651	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-16	4.76332640493154	2.972606723170729e-12	1602407196284.1895	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-15	4.783508198187663	2.3667824611005085e-12	2021101760219.8318	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-14	4.352543528878778	4.710165308991376e-12	924074473685.685	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-13	-1.0857111977722629	7.159756081066448e-13	-1516408080777.168	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-12	-1.0857068555650997	4.216020810249705e-12	-257519330294.95547	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-11	-1.0857025133565554	3.2856208139719012e-12	-330440600065.49506	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-10	-0.4592451145946659	5.055971240124573e-12	-90832224469.56613	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-9	-0.4592407723866325	5.377715790599048e-12	-85396995726.2237	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-8	-0.4592364301806886	2.0974731388123375e-12	-218947466683.99496	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-7	-0.30939983577301466	8.428852459653878e-12	-36707231174.5886	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-6	-0.30939549356738016	2.6157499776293758e-12	-118281753307.24146	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-5	-0.3093911513601395	3.248365936598494e-12	-95245165538.25105	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-4	0.1313706137536932	2.6377825388618062e-12	49803428379.042625	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-3	0.13137495596079768	5.309836139502636e-12	24741809824.116978	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	-2	0.13137929816844762	3.2242225867043775e-12	40747589422.08649	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	0	4.342206538332505e-06	1.7253433287004536e-12	2516720.2759598577	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	1	8.68441580494851e-06	5.166827292366507e-12	1680802.4177194587	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	2	-0.457635791451231	1.4413152916774195e-12	-317512617880.17883	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	3	-0.4576314492431361	3.471348027159792e-12	-131831048244.84099	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	4	-0.4576271070375597	7.839648959612244e-13	-583734181715.4454	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	5	0.013867068680112504	1.7039137182490475e-12	8138363187.991932	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	6	0.013871410887135838	1.73845596888518e-12	7979155719.446355	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	7	0.013875753096167454	3.5731792856319062e-12	3883307269.792808	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	8	-0.04965773276133678	7.233116737845519e-13	-68653299208.506905	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	9	-0.049653390554711796	4.601988723163437e-12	-10789550679.424467	0.0	95	1.0
ashdod_comp	Ashdod-HCT terminal	porttr	10	-0.04964904834804251	2.3551685361842132e-12	-21080889789.943733	0.0	95	1.0
ashdod_comp	Ashdod-Legacy terminal	porttr	-24	-0.34455898932963747	2.375315709472859e-12	-145058186562.53638	0.0	95	1.0
ashdod_comp	Ashdod-Legacy terminal	porttr	-23	-0.4615548967973355	3.0693345596626154e-12	-150376209509.09637	0.0	95	1.0
