port	terminal	year	month	date	L_hours
Haifa	Haifa-Bayport	2019	2	2019-02-28	0.0
Haifa	Haifa-Bayport	2019	3	2019-03-31	0.0
Haifa	Haifa-Bayport	2019	4	2019-04-30	0.0
Haifa	Haifa-Bayport	2019	5	2019-05-31	0.0
Haifa	Haifa-Bayport	2019	6	2019-06-30	0.0
Haifa	Haifa-Bayport	2019	7	2019-07-31	0.0
Haifa	Haifa-Bayport	2019	8	2019-08-31	0.0
Haifa	Haifa-Bayport	2019	9	2019-09-30	0.0
Haifa	Haifa-Bayport	2019	10	2019-10-31	0.0
Haifa	Haifa-Bayport	2019	11	2019-11-30	0.0
Haifa	Haifa-Bayport	2019	12	2019-12-31	0.0
Haifa	Haifa-Bayport	2020	1	2020-01-31	0.0
Haifa	Haifa-Bayport	2020	2	2020-02-29	0.0
Haifa	Haifa-Bayport	2020	3	2020-03-31	0.0
Haifa	Haifa-Bayport	2020	4	2020-04-30	0.0
Haifa	Haifa-Bayport	2020	5	2020-05-31	0.0
Haifa	Haifa-Bayport	2020	6	2020-06-30	0.0
Haifa	Haifa-Bayport	2020	7	2020-07-31	0.0
Haifa	Haifa-Bayport	2020	8	2020-08-31	0.0
Haifa	Haifa-Bayport	2020	9	2020-09-30	0.0
Haifa	Haifa-Bayport	2020	10	2020-10-31	0.0
Haifa	Haifa-Bayport	2020	11	2020-11-30	0.0
Haifa	Haifa-Bayport	2020	12	2020-12-31	0.0
Haifa	Haifa-Bayport	2021	1	2021-01-31	0.0
Haifa	Haifa-Bayport	2021	2	2021-02-28	0.0
Haifa	Haifa-Bayport	2021	3	2021-03-31	0.0
Haifa	Haifa-Bayport	2021	4	2021-04-30	0.0
Haifa	Haifa-Bayport	2021	5	2021-05-31	0.0
Haifa	Haifa-Bayport	2021	6	2021-06-30	0.0
Haifa	Haifa-Bayport	2021	7	2021-07-31	55.33518376668972
Haifa	Haifa-Bayport	2021	8	2021-08-31	55.33518376668972
Haifa	Haifa-Bayport	2021	9	2021-09-30	55.33518376668972
Haifa	Haifa-Bayport	2021	10	2021-10-31	199.38922502044775
Haifa	Haifa-Bayport	2021	11	2021-11-30	199.38922502044775
Haifa	Haifa-Bayport	2021	12	2021-12-31	199.38922502044775
Haifa	Haifa-Bayport	2022	1	2022-01-31	504.02463675491975
Haifa	Haifa-Bayport	2022	2	2022-02-28	504.02463675491975
Haifa	Haifa-Bayport	2022	3	2022-03-31	504.02463675491975
Haifa	Haifa-Bayport	2022	4	2022-04-30	866.6407682067698
Haifa	Haifa-Bayport	2022	5	2022-05-31	866.6407682067698
Haifa	Haifa-Bayport	2022	6	2022-06-30	866.6407682067698
Haifa	Haifa-Bayport	2022	7	2022-07-31	961.8967026383502
Haifa	Haifa-Bayport	2022	8	2022-08-31	961.8967026383502
Haifa	Haifa-Bayport	2022	9	2022-09-30	961.8967026383502
Haifa	Haifa-Bayport	2022	10	2022-10-31	1144.2234321950748
Haifa	Haifa-Bayport	2022	11	2022-11-30	1144.2234321950748
Haifa	Haifa-Bayport	2022	12	2022-12-31	1144.2234321950748
Haifa	Haifa-Bayport	2023	1	2023-01-31	1467.845745907903
Haifa	Haifa-Bayport	2023	2	2023-02-28	1467.845745907903
Haifa	Haifa-Bayport	2023	3	2023-03-31	1467.845745907903
Haifa	Haifa-Bayport	2023	4	2023-04-30	1741.7686949252711
Haifa	Haifa-Bayport	2023	5	2023-05-31	1741.7686949252711
Haifa	Haifa-Bayport	2023	6	2023-06-30	1741.7686949252711
Haifa	Haifa-Bayport	2023	7	2023-07-31	1667.653020274881
Haifa	Haifa-Bayport	2023	8	2023-08-31	1667.653020274881
Haifa	Haifa-Bayport	2023	9	2023-09-30	1667.653020274881
Haifa	Haifa-Bayport	2023	10	2023-10-31	1143.4084648178705
Haifa	Haifa-Bayport	2023	11	2023-11-30	1143.4084648178705
Haifa	Haifa-Bayport	2023	12	2023-12-31	1143.4084648178705
Haifa	Haifa-Bayport	2024	1	2024-01-31	949.3748919995878
Haifa	Haifa-Bayport	2024	2	2024-02-29	949.3748919995878
Haifa	Haifa-Bayport	2024	3	2024-03-31	949.3748919995878
Haifa	Haifa-Bayport	2024	4	2024-04-30	864.69637814917
Haifa	Haifa-Bayport	2024	5	2024-05-31	864.69637814917
Haifa	Haifa-Bayport	2024	6	2024-06-30	864.69637814917
Haifa	Haifa-Bayport	2024	7	2024-07-31	904.7348868045488
Haifa	Haifa-Bayport	2024	8	2024-08-31	904.7348868045488
Haifa	Haifa-Bayport	2024	9	2024-09-30	904.7348868045488
Haifa	Haifa-Bayport	2024	10	2024-10-31	1036.287176380027
Haifa	Haifa-Bayport	2024	11	2024-11-30	1036.287176380027
Haifa	Haifa-Bayport	2024	12	2024-12-31	1036.287176380027
Haifa	Haifa-Legacy	2018	1	2018-01-31	2328.0509464562333
Haifa	Haifa-Legacy	2018	2	2018-02-28	2328.0509464562333
Haifa	Haifa-Legacy	2018	3	2018-03-31	2328.0509464562333
Haifa	Haifa-Legacy	2018	4	2018-04-30	2443.263640406322
Haifa	Haifa-Legacy	2018	5	2018-05-31	2443.263640406322
Haifa	Haifa-Legacy	2018	6	2018-06-30	2443.263640406322
Haifa	Haifa-Legacy	2018	7	2018-07-31	2083.374379524898
Haifa	Haifa-Legacy	2018	8	2018-08-31	2083.374379524898
Haifa	Haifa-Legacy	2018	9	2018-09-30	2083.374379524898
Haifa	Haifa-Legacy	2018	10	2018-10-31	2214.1381941063732
Haifa	Haifa-Legacy	2018	11	2018-11-30	2214.1381941063732
Haifa	Haifa-Legacy	2018	12	2018-12-31	2214.1381941063732
Haifa	Haifa-Legacy	2019	1	2019-01-31	2148.707040602077
Haifa	Haifa-Legacy	2019	2	2019-02-28	2148.707040602077
Haifa	Haifa-Legacy	2019	3	2019-03-31	2148.707040602077
Haifa	Haifa-Legacy	2019	4	2019-04-30	2098.7219331547817
Haifa	Haifa-Legacy	2019	5	2019-05-31	2098.7219331547817
Haifa	Haifa-Legacy	2019	6	2019-06-30	2098.7219331547817
Haifa	Haifa-Legacy	2019	7	2019-07-31	1938.2624355949836
Haifa	Haifa-Legacy	2019	8	2019-08-31	1938.2624355949836
Haifa	Haifa-Legacy	2019	9	2019-09-30	1938.2624355949836
Haifa	Haifa-Legacy	2019	10	2019-10-31	2023.56454302911
Haifa	Haifa-Legacy	2019	11	2019-11-30	2023.56454302911
Haifa	Haifa-Legacy	2019	12	2019-12-31	2023.56454302911
Haifa	Haifa-Legacy	2020	1	2020-01-31	2623.634884949111
Haifa	Haifa-Legacy	2020	2	2020-02-29	2623.634884949111
Haifa	Haifa-Legacy	2020	3	2020-03-31	2623.634884949111
Haifa	Haifa-Legacy	2020	4	2020-04-30	2304.6957395468435
Haifa	Haifa-Legacy	2020	5	2020-05-31	2304.6957395468435
Haifa	Haifa-Legacy	2020	6	2020-06-30	2304.6957395468435
Haifa	Haifa-Legacy	2020	7	2020-07-31	2226.396076742002
Haifa	Haifa-Legacy	2020	8	2020-08-31	2226.396076742002
Haifa	Haifa-Legacy	2020	9	2020-09-30	2226.396076742002
Haifa	Haifa-Legacy	2020	10	2020-10-31	2232.6707346594794
Haifa	Haifa-Legacy	2020	11	2020-11-30	2232.6707346594794
Haifa	Haifa-Legacy	2020	12	2020-12-31	2232.6707346594794
Haifa	Haifa-Legacy	2021	1	2021-01-31	2711.6076441931177
Haifa	Haifa-Legacy	2021	2	2021-02-28	2711.6076441931177
Haifa	Haifa-Legacy	2021	3	2021-03-31	2711.6076441931177
Haifa	Haifa-Legacy	2021	4	2021-04-30	2752.095288583881
Haifa	Haifa-Legacy	2021	5	2021-05-31	2752.095288583881
Haifa	Haifa-Legacy	2021	6	2021-06-30	2752.095288583881
Haifa	Haifa-Legacy	2021	7	2021-07-31	2457.600131946479
Haifa	Haifa-Legacy	2021	8	2021-08-31	2457.600131946479
Haifa	Haifa-Legacy	2021	9	2021-09-30	2457.600131946479
Haifa	Haifa-Legacy	2021	10	2021-10-31	2455.908726386075
Haifa	Haifa-Legacy	2021	11	2021-11-30	2455.908726386075
Haifa	Haifa-Legacy	2021	12	2021-12-31	2455.908726386075
Haifa	Haifa-Legacy	2022	1	2022-01-31	2905.9139814556
Haifa	Haifa-Legacy	2022	2	2022-02-28	2905.9139814556
Haifa	Haifa-Legacy	2022	3	2022-03-31	2905.9139814556
Haifa	Haifa-Legacy	2022	4	2022-04-30	2249.9624894290314
Haifa	Haifa-Legacy	2022	5	2022-05-31	2249.9624894290314
Haifa	Haifa-Legacy	2022	6	2022-06-30	2249.9624894290314
Haifa	Haifa-Legacy	2022	7	2022-07-31	1558.5407218774333
Haifa	Haifa-Legacy	2022	8	2022-08-31	1558.5407218774333
Haifa	Haifa-Legacy	2022	9	2022-09-30	1558.5407218774333
Haifa	Haifa-Legacy	2022	10	2022-10-31	878.4906086563747
Haifa	Haifa-Legacy	2022	11	2022-11-30	878.4906086563747
Haifa	Haifa-Legacy	2022	12	2022-12-31	878.4906086563747
Haifa	Haifa-Legacy	2023	1	2023-01-31	1024.9281437395905
Haifa	Haifa-Legacy	2023	2	2023-02-28	1024.9281437395905
Haifa	Haifa-Legacy	2023	3	2023-03-31	1024.9281437395905
