month	K_kNIS	series	L_hours	KL_kNIS_per_hour
2022-01	15504819.510490296	HAIFA_TOTAL	3253.113403121847	4766.147867950473
2022-02	15478447.602372408	HAIFA_TOTAL	3252.4890325562765	4758.954587529294
2022-03	15463356.892928876	HAIFA_TOTAL	3561.208084167134	4342.166064846873
2022-04	15459480.16879537	HAIFA_TOTAL	3226.279685224111	4791.735893077568
2022-05	15466750.685305675	HAIFA_TOTAL	3053.3460678376714	5065.508573765754
2022-06	15485102.163002478	HAIFA_TOTAL	2955.687099718713	5239.087102446049
2022-07	15514468.784174835	HAIFA_TOTAL	2611.311489031081	5941.255514458534
2022-08	15554785.189422032	HAIFA_TOTAL	2732.9009015952615	5691.67553069426
2022-09	15605986.474243635	HAIFA_TOTAL	2273.7100206673344	6863.666137013934
2022-10	15668008.185655598	HAIFA_TOTAL	2258.572053267841	6937.13010527433
2022-11	15740786.318832122	HAIFA_TOTAL	1967.2695894645135	8001.336676544027
2022-12	15824257.313773192	HAIFA_TOTAL	2063.1925969888803	7669.791631119583
2023-01	15778663.17302673	HAIFA_TOTAL	2244.535421486108	7029.812504620519
2023-02	15739176.745998109	HAIFA_TOTAL	2038.6420587579373	7720.421875131605
2023-03	15705773.541769473	HAIFA_TOTAL	1880.571177709538	8351.597497574376
2023-04	15678429.202831805	HAIFA_TOTAL	2315.908823514025	6769.881889841532
2023-05	15657119.504161231	HAIFA_TOTAL	3420.5746226410674	4577.33604188181
2023-06	15641820.35230276	HAIFA_TOTAL	3012.0600495787776	5193.063914675338
2023-07	15632507.784461288	HAIFA_TOTAL	2970.0038418284958	5263.4638259717085
2023-08	15629157.967599932	HAIFA_TOTAL	3470.5770248816048	4503.331248823992
2023-09	15631747.197545504	HAIFA_TOTAL	2416.3377679755563	6469.189616086667
2023-10	15640251.89810118	HAIFA_TOTAL	4106.455875646727	3808.698393876689
2023-11	15654648.620166216	HAIFA_TOTAL	2773.7477704723115	5643.86163255953
2023-12	15674914.040862674	HAIFA_TOTAL	2353.2664045101183	6660.917782543084
2024-01	15625781.29394857	HAIFA_TOTAL	1968.860770614121	7936.458243857754
2024-02	15578255.98352228	HAIFA_TOTAL	2265.4908666628953	6876.326986243516
2024-03	15532333.15172632	HAIFA_TOTAL	1863.830898536452	8333.552772369465
2024-04	15488007.864871418	HAIFA_TOTAL	2111.635356401821	7334.603400116692
2024-05	15445275.21322103	HAIFA_TOTAL	1862.6686959823028	8292.0141657697
2024-06	15404130.31077838	HAIFA_TOTAL	2028.8033722947662	7592.717224910203
2024-07	15364568.29507599	HAIFA_TOTAL	2295.997216137113	6691.893259751429
2024-08	15326584.326967685	HAIFA_TOTAL	2457.943487058581	6235.531617250076
2024-09	15290173.59042299	HAIFA_TOTAL	2572.57059476663	5943.5389728576265
2024-10	15255331.292323984	HAIFA_TOTAL	2529.6183699592125	6030.684894405617
2024-11	15222052.66226448	HAIFA_TOTAL	2754.4882499727846	5526.272498136406
2024-12	15190332.952351589	HAIFA_TOTAL	2352.6404142962483	6456.7168276310995
2018-01	1241493.923894206	LEGACY	2240.986068059386	553.9944855477372
2018-02	1232098.710677581	LEGACY	2411.8690503993957	510.84809536966793
2018-03	1223176.6544015498	LEGACY	2331.2977209099176	524.6762965667626
2018-04	1214723.858454283	LEGACY	2607.434748152321	465.8693220664717
2018-05	1206736.4622653532	LEGACY	2441.777888319351	494.2040256970042
2018-06	1199210.6409493966	LEGACY	2280.578284747295	525.8362096007934
2018-07	1192142.6049534257	LEGACY	2069.6379881526027	576.0150382712845
2018-08	1185528.599707748	LEGACY	2077.262667407408	570.716750610737
2018-09	1179364.9052804653	LEGACY	2103.2224830146847	560.7418686348414
2018-10	1173647.836035502	LEGACY	2250.076686871537	521.6034826205498
2018-11	1168373.7402941375	LEGACY	2183.2360576730875	535.1568540597486
2018-12	1163539.0	LEGACY	2209.1018377744954	526.7022914489893
2019-01	1153417.671054322	LEGACY	2091.535512864611	551.4693219215661
2019-02	1142806.637433675	LEGACY	1969.2354963607736	580.3301024918693
2019-03	1131709.8750242733	LEGACY	2385.350112580847	474.44183101482383
2019-04	1120131.330645034	LEGACY	2138.999452856638	523.6706952631972
2019-05	1108074.9222344744	LEGACY	2054.9240596462973	539.2291345429092
2019-06	1095544.5390366986	LEGACY	2102.2422869614097	521.1314346740705
2019-07	1082544.0417864595	LEGACY	2082.772378894249	519.7610899570244
2019-08	1069077.262893303	LEGACY	1875.321245850808	570.0768683011838
2019-09	1055148.006624795	LEGACY	1856.6936820398937	568.2940685539122
2019-10	1040760.0492888312	LEGACY	2423.7757766911327	429.3961757096385
2019-11	1025917.1394150292	LEGACY	1810.456800625956	566.6620374815482
2019-12	1010622.9979352084	LEGACY	1836.4610517702415	550.3100634565741
2020-01	1003288.6415381292	LEGACY	2669.5045169615605	375.8332811064414
2020-02	996972.3211765336	LEGACY	2472.02775776068	403.30142655018346
2020-03	991665.0326785896	LEGACY	2729.3723801250935	363.3307935185961
2020-04	987357.8566362913	LEGACY	2410.7061037670483	409.5720565411991
2020-05	984041.9575760524	LEGACY	2435.988093015271	403.96008518990885
2020-06	981708.583137623	LEGACY	2067.393021858213	474.85338915154324
2020-07	980349.0632612408	LEGACY	2082.993787300281	470.6442569528007
2020-08	979954.8093829337	LEGACY	2424.5768849614974	404.17559676541066
2020-09	980517.313637892	LEGACY	2171.6175579642277	451.51472921275933
2020-10	982028.1480718266	LEGACY	2382.092297986978	412.2544491251258
2020-11	984478.9638602312	LEGACY	2131.5108286526456	461.8690886419435
2020-12	987861.4905354694	LEGACY	2184.409077338815	452.23282616044816
2021-01	981094.6582327692	LEGACY	2717.6274413264255	361.01146290821765
2021-02	975765.1544695063	LEGACY	2553.7306261182134	382.09400180657025
2021-03	971860.7977343895	LEGACY	2721.3325743128707	357.1268013722218
2021-04	969369.5113742253	LEGACY	2746.71930105297	352.9190299870147
2021-05	968279.3226775224	LEGACY	2647.583959012671	365.72185723568526
2021-06	968578.3619662346	LEGACY	2717.728104573316	356.39266501175683
2021-07	970254.8616955652	LEGACY	2492.1481164246215	389.32471762053547
2021-08	973297.1555617624	LEGACY	2532.3472132256184	384.34585529130874
2021-09	977693.677617832	LEGACY	2339.7149405974196	417.86871582235955
2021-10	983432.9613971	LEGACY	2674.9175673601967	367.64981971673365
2021-11	990503.6390445464	LEGACY	2444.0856783521176	405.26551414203135
2021-12	998894.4404558504	LEGACY	2543.69985097222	392.6935169155536
2022-01	991994.764824372	LEGACY	3065.5223384573524	323.59730424393797
2022-02	986505.7856571244	LEGACY	3037.9638957091006	324.72597421269256
2022-03	982415.9084161858	LEGACY	3257.5131028419605	301.584637544234
2022-04	979713.633922246	LEGACY	2737.2394013434387	357.92033149946695
2022-05	978387.5575697155	LEGACY	2265.5582414768137	431.85275031020586
2022-06	978426.3685483016	LEGACY	2261.804189354163	432.58668153218076
2022-07	979818.8490709974	LEGACY	1658.8281437353216	590.6692943276557
2022-08	982553.873608432	LEGACY	1692.2117587834312	580.6329311378926
2022-09	986620.4081295287	LEGACY	1095.3306057437048	900.7512462044605
2022-10	992007.5093484196	LEGACY	1015.710911619322	976.6632395106274
2022-11	998704.3239775632	LEGACY	352.50843475286075	2833.135963619544
2022-12	1006700.087987017	LEGACY	338.53238043785177	2973.718752353819
2023-01	1000126.5418728326	LEGACY	522.7251817068965	1913.2932119455947
2023-02	995339.6710510836	LEGACY	567.4008374764986	1754.209027039566
2023-03	992329.2366439505	LEGACY	17.07777536681913	58106.469685271404
2023-04	991085.0753732176	LEGACY	403.20807322775494	2457.999085780696
2023-05	991597.0989187468	LEGACY	1681.2328438518566	589.8035495469552
2023-06	993855.2932827842	LEGACY	1360.868849316891	730.3093856411402
2023-07	997849.718160047	LEGACY	1278.1146139126076	780.7200600777076
2023-08	1003570.5063135404	LEGACY	2073.716952035689	483.9476792280516
2023-09	1011007.8629560434	LEGACY	795.808395715671	1270.416181079421
2023-10	1020152.065137216	LEGACY	2921.974161801004	349.13110405754907
2023-11	1030993.4611362692	LEGACY	1793.2710321578395	574.9233900776709
2023-12	1043522.4698601488	LEGACY	1525.254344654962	684.1629224116133
2024-01	1035510.1077224882	LEGACY	1053.2115255556328	983.1929129110072
2024-02	1027797.7843346492	LEGACY	1197.8315484388286	858.0486844533443
2024-03	1020384.3310766582	LEGACY	563.3568971491534	1811.257368535426
2024-04	1013268.5902330688	LEGACY	1336.4261603493962	758.1927234709018
2024-05	1006449.4148380955	LEGACY	654.3519475426095	1538.0857635065852
2024-06	999925.6685229158	LEGACY	1282.8319886283505	779.4673639157313
2024-07	993696.225365112	LEGACY	1540.2491501781492	645.1529125987042
2024-08	987759.9697402274	LEGACY	1581.3824560311818	624.6180144297432
2024-09	982115.7961754058	LEGACY	1719.0945816656808	571.2982907687401
2024-10	976762.6092050908	LEGACY	1582.275393476371	617.3151735988729
2024-11	971699.3232287545	LEGACY	1857.145078312323	523.2220867266785
2024-12	966924.8623706296	LEGACY	1431.111565355251	675.6460403075603
