series_id	entity	level	freq	port	terminal	year	month	month_index	delta_scenario	K	L	KL	log_KL
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	6	202106	central	968578.3619662346	2717.728104573316	356.39266501175683	5.876033114609774
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	7	202107	central	970254.8616955652	2492.1481164246215	389.32471762053547	5.964413745075895
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	8	202108	central	973297.1555617624	2532.3472132256184	384.34585529130874	5.951542812053658
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	9	202109	central	977693.677617832	2339.7149405974196	417.86871582235955	6.035167306212251
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	10	202110	central	983432.9613971	2674.9175673601967	367.64981971673365	5.907130908275549
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	11	202111	central	990503.6390445464	2444.0856783521176	405.26551414203135	6.004542442775134
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	12	202112	central	998894.4404558504	2543.69985097222	392.6935169155536	5.973029452447316
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	1	202201	central	991994.764824372	3065.5223384573524	323.59730424393797	5.779499854630287
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	2	202202	central	986505.7856571244	3037.9638957091006	324.72597421269256	5.782981670404923
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	3	202203	central	982415.9084161858	3257.5131028419605	301.584637544234	5.709050698312069
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	4	202204	central	979713.633922246	2737.2394013434387	357.92033149946695	5.880310423924524
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	5	202205	central	978387.5575697155	2265.5582414768137	431.85275031020586	6.068084674376168
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	6	202206	central	978426.3685483016	2261.804189354163	432.58668153218076	6.069782726018169
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	7	202207	central	979818.8490709974	1658.8281437353216	590.6692943276557	6.381256291123007
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	8	202208	central	982553.873608432	1692.2117587834312	580.6329311378926	6.36411876913103
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	9	202209	central	986620.4081295287	1095.3306057437048	900.7512462044605	6.803229133145936
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	10	202210	central	992007.5093484196	1015.710911619322	976.6632395106274	6.884141904303359
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	11	202211	central	998704.3239775632	352.50843475286075	2833.135963619544	7.94913949148495
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2022	12	202212	central	1006700.087987017	338.53238043785177	2973.718752353819	7.997568553736426
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	1	202301	central	1000126.5418728326	522.7251817068965	1913.2932119455947	7.556581231059228
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	2	202302	central	995339.6710510836	567.4008374764986	1754.209027039566	7.469773337462065
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	3	202303	central	992329.2366439505	17.07777536681913	58106.469685271404	10.970032290948168
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	4	202304	central	991085.0753732176	403.20807322775494	2457.999085780696	7.807102918189661
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	5	202305	central	991597.0989187468	1681.2328438518566	589.8035495469552	6.379789514584422
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	6	202306	central	993855.2932827842	1360.868849316891	730.3093856411402	6.5934682603045935
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	7	202307	central	997849.718160047	1278.1146139126076	780.7200600777076	6.660216647784872
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	8	202308	central	1003570.5063135404	2073.716952035689	483.9476792280516	6.181976800104834
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	9	202309	central	1011007.8629560434	795.808395715671	1270.416181079421	7.147099827407522
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	10	202310	central	1020152.065137216	2921.974161801004	349.13110405754907	5.855447507986611
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	11	202311	central	1030993.4611362692	1793.2710321578395	574.9233900776709	6.354236797273297
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2023	12	202312	central	1043522.4698601488	1525.254344654962	684.1629224116133	6.528196079919912
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2024	1	202401	central	1035510.1077224882	1053.2115255556328	983.1929129110072	6.89080535003932
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2024	2	202402	central	1027797.7843346492	1197.8315484388286	858.0486844533443	6.7546608396653225
