year	month	date	LP	log_LP	delta	scenario	K	L	KL	log_KL	t_index
2021	10	2021-10-01	0.9934411330441072	-0.006580470840247311	0.06	central	13173660.751431758	2606.1548363861057	5054.82658493897	8.528098825216064	34
2018	12	2018-12-01	57.30658161407647	4.048415479499324	0.08	high	12763818.207287256	2073.0925925925926	6156.897310276397	8.725328246239783	0
2019	1	2019-01-01	53.282146863085224	3.975601319397178	0.08	high	12772109.469818234	2196.6607142857147	5814.329626216912	8.668080774767454	1
2019	2	2019-02-01	57.97597106855339	4.060028632782318	0.08	high	12780452.949994512	1900.767857142857	6723.836844129653	8.813414229530016	2
2019	3	2019-03-01	59.44638303526951	4.0850747808363055	0.08	high	12787943.613570511	2245.464285714286	5695.0109137463505	8.647345792252818	3
2019	4	2019-04-01	52.649611422262424	3.963658858158873	0.08	high	12796386.26326612	2273.5	5628.496267106277	8.635597592581753	4
2019	5	2019-05-01	54.51291161721329	3.9984375840179425	0.08	high	12804575.950131038	2109.482142857143	6070.009169543457	8.711115394685592	5
2019	6	2019-06-01	58.80679950032776	4.074257485979727	0.08	high	12813120.27638655	2000.4821428571431	6405.016071818818	8.764836723589017	6
2019	7	2019-07-01	56.138434290053496	4.02782068116209	0.08	high	12821408.217931936	2076.1607142857147	6175.537437785991	8.72835119216817	7
2019	8	2019-08-01	56.50472454676223	4.0343242549530896	0.08	high	12830053.556154948	1857.25	6908.0918326315505	8.840448732842301	8
2019	9	2019-09-01	56.79423543349311	4.039434831729812	0.08	high	12838749.931006284	1829.4285714285716	7017.901727084491	8.856219553064852	9
2019	10	2019-10-01	65.69191669027079	4.184975884287681	0.08	high	12847184.806985188	2064.714285714286	6222.257915235336	8.735888128741722	10
2019	11	2019-11-01	50.33634060403275	3.918727293462016	0.08	high	12855981.208586456	2012.732142857143	6387.328415363281	8.76207137158572	11
2019	12	2019-12-01	49.860524928675986	3.9092296060920577	0.08	high	12864512.750704288	2061.125	6241.5005158368795	8.738975899737403	12
2020	1	2020-01-01	58.14442014139958	4.062929918064779	0.08	high	12809952.71708838	2384.75	5371.612419368228	8.588883406746984	13
2020	2	2020-02-01	55.38861696479575	4.014374102691861	0.08	high	12755988.772966428	2318.2115384615386	5502.512847223525	8.612960148195443	14
2020	3	2020-03-01	57.061611489550614	4.0441315874046175	0.08	high	12705976.875125209	2484.5	5114.098158633612	8.539756349768142	15
2020	4	2020-04-01	49.091145027047155	3.893678672854916	0.08	high	12653131.160627214	2550.7115384615386	4960.628032544578	8.509287631168037	16
2020	5	2020-05-01	54.379912050913006	3.995994821897261	0.08	high	12602494.502274385	2326.7884615384614	5416.261387999868	8.59716107561362	17
2020	6	2020-06-01	49.844821852743344	3.908914616443671	0.08	high	12550739.249515356	2154.3846153846152	5825.6725191452015	8.670029725700116	18
2020	7	2020-07-01	45.169306205306206	3.8104177899139766	0.08	high	12501136.258074343	2395.326923076923	5218.968708461715	8.560055095929274	19
2020	8	2020-08-01	57.55791677357677	4.052791689105295	0.08	high	12450426.971140752	2188.019230769231	5690.273100005441	8.6465135224546	20
2020	9	2020-09-01	51.750679595843486	3.9464375643460814	0.08	high	12400232.823555196	2179.653846153846	5689.083542066226	8.646304449484841	21
2020	10	2020-10-01	48.38552266897733	3.879200650568192	0.08	high	12352109.906413104	2557.1923076923076	4830.3406315030115	8.482672268280616	22
2020	11	2020-11-01	45.90810321718783	3.826641642164501	0.08	high	12480624.840914307	2411.673076923077	5175.089841297088	8.551611978619993	23
2020	12	2020-12-01	51.31794401265886	3.938040476837735	0.08	high	12437321.283930792	2210.9807692307695	5625.250774233512	8.635020808164827	24
2021	1	2021-01-01	78.87401446461342	4.367851825881425	0.08	high	12394748.668253	2704.936170212766	4582.270297076197	8.429949852342109	25
2021	2	2021-02-01	76.65194420863219	4.339274969753249	0.08	high	12354045.148417342	2615.489361702128	4723.416324804886	8.460287614392579	26
2021	3	2021-03-01	79.51820868261099	4.375986035467465	0.08	high	12319610.7156172	2686.68085106383	4585.43883645096	8.430641091441162	27
2021	4	2021-04-01	83.15012825092363	4.4206477480421205	0.08	high	12285887.34711001	2593.2978723404253	4737.5534751131845	8.463276136949812	28
2021	5	2021-05-01	72.896755483295	4.289044131622184	0.08	high	12259857.919542724	2851.297872340426	4299.74645527985	8.366311336054808	29
2021	6	2021-06-01	77.06150630392189	4.3446038861640135	0.08	high	12243968.403232755	2768.6595744680853	4422.3452085419585	8.394425424526416	30
2021	7	2021-07-01	0.3587952819157292	-1.0250032985056665	0.08	high	12245437.68761685	2580.950719154392	4744.545332360656	8.4647508860864	31
2021	8	2021-08-01	0.377979146736211	-0.9729162522488455	0.08	high	12275002.03160214	2730.8078815465105	4495.00754503849	8.410722625444576	32
2021	9	2021-09-01	0.1098432800635779	-2.2087006557725677	0.08	high	12350310.92614864	2290.201277614755	5392.674891445127	8.592796810086977	33
2021	10	2021-10-01	0.9934411330441072	-0.006580470840247311	0.08	high	12493131.830599723	2606.1548363861057	4793.702836138339	8.475058426451957	34
