month	K_kNIS	series	L_hours	KL_kNIS_per_hour
2024-03	15532333.15172632	HAIFA_TOTAL	2137.1462392174435	7267.791443890043
2024-04	15488007.864871418	HAIFA_TOTAL	2033.398958551319	7616.807218149527
2024-05	15445275.21322103	HAIFA_TOTAL	2033.398958551319	7595.791838225839
2024-06	15404130.31077838	HAIFA_TOTAL	2033.398958551319	7575.5572933670355
2024-07	15364568.29507599	HAIFA_TOTAL	2370.385561450259	6481.885708785527
2024-08	15326584.326967685	HAIFA_TOTAL	2370.385561450259	6465.861324935894
2024-09	15290173.59042299	HAIFA_TOTAL	2370.385561450259	6450.500643898663
2024-10	15255331.292323984	HAIFA_TOTAL	2480.5853383419535	6149.891743906215
2024-11	15222052.66226448	HAIFA_TOTAL	2480.5853383419535	6136.476107868573
2024-12	15190332.952351589	HAIFA_TOTAL	2480.5853383419535	6123.688920335613
2018-01	1241493.923894206	LEGACY	2328.0509464562333	533.2760976661667
2018-02	1232098.710677581	LEGACY	2328.0509464562333	529.2404414744813
2018-03	1223176.6544015498	LEGACY	2328.0509464562333	525.408026943514
2018-04	1214723.858454283	LEGACY	2443.263640406322	497.1726498791882
2018-05	1206736.4622653532	LEGACY	2443.263640406322	493.90349952765206
2018-06	1199210.6409493966	LEGACY	2443.263640406322	490.82326651820694
2018-07	1192142.6049534257	LEGACY	2083.374379524898	572.2171764564405
2018-08	1185528.599707748	LEGACY	2083.374379524898	569.0425164862119
2018-09	1179364.9052804653	LEGACY	2083.374379524898	566.084001450288
2018-10	1173647.836035502	LEGACY	2214.1381941063732	530.0698209170212
2018-11	1168373.7402941375	LEGACY	2214.1381941063732	527.6878125331709
2018-12	1163539.0	LEGACY	2214.1381941063732	525.5042359583182
2019-01	1153417.671054322	LEGACY	2148.707040602077	536.79615194593
2019-02	1142806.637433675	LEGACY	2148.707040602077	531.8578176732066
2019-03	1131709.8750242733	LEGACY	2148.707040602077	526.6934270886753
2019-04	1120131.330645034	LEGACY	2098.7219331547817	533.7206958909806
2019-05	1108074.9222344744	LEGACY	2098.7219331547817	527.9760528203111
2019-06	1095544.5390366986	LEGACY	2098.7219331547817	522.0055700232213
2019-07	1082544.0417864595	LEGACY	1938.2624355949836	558.5126254867307
2019-08	1069077.262893303	LEGACY	1938.2624355949836	551.5647640176915
2019-09	1055148.006624795	LEGACY	1938.2624355949836	544.3782984428003
2019-10	1040760.0492888312	LEGACY	2023.56454302911	514.3201648171295
2019-11	1025917.1394150292	LEGACY	2023.56454302911	506.98513321414276
2019-12	1010622.9979352084	LEGACY	2023.56454302911	499.42711311910455
2020-01	1003288.6415381292	LEGACY	2623.634884949111	382.40406364988144
2020-02	996972.3211765336	LEGACY	2623.634884949111	379.99659437973634
2020-03	991665.0326785896	LEGACY	2623.634884949111	377.97371820577246
2020-04	987357.8566362913	LEGACY	2304.6957395468435	428.4113688822233
2020-05	984041.9575760524	LEGACY	2304.6957395468435	426.97261104389327
2020-06	981708.583137623	LEGACY	2304.6957395468435	425.9601674495435
2020-07	980349.0632612408	LEGACY	2226.396076742002	440.33003538877733
2020-08	979954.8093829337	LEGACY	2226.396076742002	440.1529537443989
2020-09	980517.313637892	LEGACY	2226.396076742002	440.40560611871564
2020-10	982028.1480718266	LEGACY	2232.6707346594794	439.8445918724342
2020-11	984478.9638602312	LEGACY	2232.6707346594794	440.9422977501343
2020-12	987861.4905354694	LEGACY	2232.6707346594794	442.45731141638095
2021-01	981094.6582327692	LEGACY	2711.6076441931177	361.8129121053978
2021-02	975765.1544695063	LEGACY	2711.6076441931177	359.8474715024123
2021-03	971860.7977343895	LEGACY	2711.6076441931177	358.40760362791434
2021-04	969369.5113742253	LEGACY	2752.095288583881	352.22963223523567
2021-05	968279.3226775224	LEGACY	2752.095288583881	351.83350180282474
2021-06	968578.3619662346	LEGACY	2752.095288583881	351.94216057272735
2021-07	970254.8616955652	LEGACY	2457.600131946479	394.79769270971667
2021-08	973297.1555617624	LEGACY	2457.600131946479	396.03560518646594
2021-09	977693.677617832	LEGACY	2457.600131946479	397.82455449474395
2021-10	983432.9613971	LEGACY	2455.908726386075	400.4354684810472
2021-11	990503.6390445464	LEGACY	2455.908726386075	403.3145158867914
2021-12	998894.4404558504	LEGACY	2455.908726386075	406.7310929448694
2022-01	991994.764824372	LEGACY	2905.9139814556	341.37100105333207
2022-02	986505.7856571244	LEGACY	2905.9139814556	339.4821016563519
2022-03	982415.9084161858	LEGACY	2905.9139814556	338.07466934175534
2022-04	979713.633922246	LEGACY	2249.9624894290314	435.4355410480048
2022-05	978387.5575697155	LEGACY	2249.9624894290314	434.8461639544929
2022-06	978426.3685483016	LEGACY	2249.9624894290314	434.8634135658835
2022-07	979818.8490709974	LEGACY	1558.5407218774333	628.6770921780588
2022-08	982553.873608432	LEGACY	1558.5407218774333	630.4319545945762
2022-09	986620.4081295287	LEGACY	1558.5407218774333	633.0411482229583
2022-10	992007.5093484196	LEGACY	878.4906086563747	1129.2181152234123
2022-11	998704.3239775632	LEGACY	878.4906086563747	1136.8412071075545
2022-12	1006700.087987017	LEGACY	878.4906086563747	1145.942913979166
2023-01	1000126.5418728326	LEGACY	1024.9281437395905	975.8016188566489
2023-02	995339.6710510836	LEGACY	1024.9281437395905	971.1311735664226
2023-03	992329.2366439505	LEGACY	1024.9281437395905	968.1939584791784
