Port	Month-Year	TEU_thousands
Haifa	04-2013	133.791
Haifa	05-2013	132.723
Haifa	06-2013	119.385
Haifa	07-2013	125.306
Haifa	08-2013	108.204
Haifa	09-2013	87.811
Haifa	10-2013	83.851
Haifa	11-2013	82.474
Haifa	12-2013	102.949
Haifa	01-2014	94.993
Haifa	02-2014	85.613
Haifa	03-2014	102.921
Haifa	04-2014	106.096
Haifa	05-2014	102.079
Haifa	06-2014	100.898
Haifa	07-2014	115.842
Haifa	08-2014	101.495
Haifa	09-2014	97.1
Haifa	10-2014	99.709
Haifa	11-2014	88.894
Haifa	12-2014	100.604
Haifa	01-2015	100.223
Haifa	02-2015	97.627
Haifa	03-2015	125.196
Haifa	04-2015	103.952
Haifa	05-2015	96.33
Haifa	06-2015	107.838
Haifa	07-2015	103.872
Haifa	08-2015	85.558
Haifa	09-2015	92.98
Haifa	10-2015	100.286
Haifa	11-2015	99.183
Haifa	12-2015	101.53
Haifa	01-2016	103.429
Haifa	02-2016	109.82
Haifa	03-2016	124.406
Haifa	04-2016	99.604
Haifa	05-2016	107.661
Haifa	06-2016	111.421
Haifa	07-2016	102.178
Haifa	08-2016	106.552
Haifa	09-2016	104.877
Haifa	10-2016	94.866
Haifa	11-2016	100.878
Haifa	12-2016	102.246
Haifa	01-2017	116.802
Haifa	02-2017	109.037
Haifa	03-2017	124.347
Haifa	04-2017	120.904
Haifa	05-2017	121.575
Haifa	06-2017	121.26
Haifa	07-2017	109.393
Haifa	08-2017	110.45
Haifa	09-2017	98.574
Haifa	10-2017	103.222
Haifa	11-2017	104.43
Haifa	12-2017	103.311
Haifa	01-2018	112.403
Haifa	02-2018	112.638
Haifa	03-2018	126.799
Haifa	04-2018	130.683
Haifa	05-2018	127.879
Haifa	06-2018	131.558
Haifa	07-2018	135.914
Haifa	08-2018	127.701
Haifa	09-2018	111.052
Haifa	10-2018	121.552
Haifa	11-2018	119.024
Haifa	12-2018	111.947
Haifa	01-2019	123.013
Haifa	02-2019	106.443
Haifa	03-2019	125.746
Haifa	04-2019	127.316
Haifa	05-2019	118.131
Haifa	06-2019	112.027
Haifa	07-2019	116.265
Haifa	08-2019	104.006
Haifa	09-2019	102.448
Haifa	10-2019	115.624
Haifa	11-2019	112.713
Haifa	12-2019	115.423
Haifa	01-2020	124.007
Haifa	02-2020	120.547
Haifa	03-2020	129.194
Haifa	04-2020	132.637
Haifa	05-2020	120.993
Haifa	06-2020	112.028
Haifa	07-2020	124.557
Haifa	08-2020	113.777
Haifa	09-2020	113.342
Haifa	10-2020	132.974
Haifa	11-2020	125.407
Haifa	12-2020	114.971
Haifa	01-2021	127.132
Haifa	02-2021	122.928
Haifa	03-2021	126.274
Haifa	04-2021	121.885
Haifa	05-2021	134.011
Haifa	06-2021	130.127
Haifa	07-2021	118.613
Haifa	08-2021	125.5
Haifa	09-2021	105.251
Haifa	10-2021	121.087
AllPorts	01-2008	172.176
AllPorts	02-2008	178.679
AllPorts	03-2008	193.246
AllPorts	04-2008	183.787
AllPorts	05-2008	185.193
AllPorts	06-2008	179.109
AllPorts	07-2008	195.951
AllPorts	08-2008	156.245
AllPorts	09-2008	122.511
AllPorts	10-2008	173.322
AllPorts	11-2008	180.583
AllPorts	12-2008	160.259
AllPorts	01-2009	150.221
AllPorts	02-2009	146.92
AllPorts	03-2009	178.513
AllPorts	04-2009	169.827
AllPorts	05-2009	169.86
AllPorts	06-2009	173.906
AllPorts	07-2009	172.259
AllPorts	08-2009	178.098
AllPorts	09-2009	159.693
AllPorts	10-2009	165.812
AllPorts	11-2009	174.575
AllPorts	12-2009	191.823
AllPorts	01-2010	175.163
AllPorts	02-2010	172.595
AllPorts	03-2010	209.721
AllPorts	04-2010	194.571
AllPorts	05-2010	204.269
AllPorts	06-2010	201.291
AllPorts	07-2010	194.701
AllPorts	08-2010	197.845
AllPorts	09-2010	174.939
AllPorts	10-2010	182.918
AllPorts	11-2010	190.799
AllPorts	12-2010	185.227
AllPorts	01-2011	173.917
AllPorts	02-2011	194.794
AllPorts	03-2011	230.561
AllPorts	04-2011	208.171
AllPorts	05-2011	206.699
AllPorts	06-2011	225.837
AllPorts	07-2011	200.342
AllPorts	08-2011	211.183
AllPorts	09-2011	180.602
AllPorts	10-2011	189.476
AllPorts	11-2011	187.133
AllPorts	12-2011	186.952
AllPorts	01-2012	217.052
AllPorts	02-2012	191.34
AllPorts	03-2012	237.13
AllPorts	04-2012	232.697
AllPorts	05-2012	236.111
AllPorts	06-2012	211.405
AllPorts	07-2012	225.641
AllPorts	08-2012	207.418
AllPorts	09-2012	180.405
AllPorts	10-2012	203.204
AllPorts	11-2012	192.366
AllPorts	12-2012	206.304
AllPorts	01-2013	221.62
AllPorts	02-2013	214.491
AllPorts	03-2013	222.841
AllPorts	04-2013	238.102
AllPorts	05-2013	244.437
AllPorts	06-2013	221.078
AllPorts	07-2013	233.914
AllPorts	08-2013	215.529
AllPorts	09-2013	172.888
AllPorts	10-2013	185.246
AllPorts	11-2013	171.833
AllPorts	12-2013	196.906
AllPorts	01-2014	202.35
AllPorts	02-2014	193.744
AllPorts	03-2014	205.592
AllPorts	04-2014	199.928
AllPorts	05-2014	211.146
AllPorts	06-2014	217.142
AllPorts	07-2014	216.836
AllPorts	08-2014	202.328
AllPorts	09-2014	197.712
AllPorts	10-2014	197.843
AllPorts	11-2014	186.797
AllPorts	12-2014	214.712
AllPorts	01-2015	196.76
AllPorts	02-2015	184.888
AllPorts	03-2015	247.637
AllPorts	04-2015	211.686
AllPorts	05-2015	206.632
AllPorts	06-2015	230.301
AllPorts	07-2015	220.494
AllPorts	08-2015	201.308
AllPorts	09-2015	188.826
AllPorts	10-2015	214.564
AllPorts	11-2015	204.176
AllPorts	12-2015	214.334
AllPorts	01-2016	211.014
AllPorts	02-2016	228.361
AllPorts	03-2016	251.477
AllPorts	04-2016	212.774
AllPorts	05-2016	242.253
AllPorts	06-2016	236.466
AllPorts	07-2016	234.919
AllPorts	08-2016	241.839
AllPorts	09-2016	224.43
AllPorts	10-2016	190.319
AllPorts	11-2016	221.456
AllPorts	12-2016	216.0
AllPorts	01-2017	243.822
AllPorts	02-2017	226.704
AllPorts	03-2017	251.134
AllPorts	04-2017	242.243
AllPorts	05-2017	261.324
AllPorts	06-2017	262.247
AllPorts	07-2017	242.597
AllPorts	08-2017	241.058
AllPorts	09-2017	213.995
AllPorts	10-2017	225.357
AllPorts	11-2017	228.425
AllPorts	12-2017	230.095
AllPorts	01-2018	234.187
AllPorts	02-2018	221.523
AllPorts	03-2018	249.48
AllPorts	04-2018	247.83
AllPorts	05-2018	237.317
AllPorts	06-2018	263.775
AllPorts	07-2018	278.25
AllPorts	08-2018	264.443
AllPorts	09-2018	207.035
AllPorts	10-2018	258.662
AllPorts	11-2018	249.596
AllPorts	12-2018	234.483
AllPorts	01-2019	246.012
AllPorts	02-2019	241.243
AllPorts	03-2019	243.719
AllPorts	04-2019	261.839
AllPorts	05-2019	247.688
AllPorts	06-2019	250.925
AllPorts	07-2019	265.871
AllPorts	08-2019	236.251
AllPorts	09-2019	230.196
AllPorts	10-2019	228.841
AllPorts	11-2019	231.825
AllPorts	12-2019	232.512
AllPorts	01-2020	242.538
AllPorts	02-2020	246.38
AllPorts	03-2020	248.369
AllPorts	04-2020	246.736
AllPorts	05-2020	242.486
AllPorts	06-2020	248.555
AllPorts	07-2020	267.881
AllPorts	08-2020	259.138
AllPorts	09-2020	249.497
AllPorts	10-2020	277.597
AllPorts	11-2020	263.48
AllPorts	12-2020	256.653
AllPorts	01-2021	260.529
AllPorts	02-2021	242.301
AllPorts	03-2021	263.115
AllPorts	04-2021	252.844
AllPorts	05-2021	273.962
AllPorts	06-2021	276.042
AllPorts	07-2021	269.141
AllPorts	08-2021	278.212
AllPorts	09-2021	210.611
AllPorts	10-2021	257.756
