model	reform	target	fe_type	spec_name	event_time	j	beta_hat	se	tvalue	pvalue	N_m	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	18	18	1.7248824622188894	0.1825226181673223	9.450239534903302	3.3805619245117176e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	19	19	1.7273147424093245	0.1819639632834403	9.492619919026128	2.2529921392417263e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	20	20	1.726142473594264	0.1818181889737052	9.493783231137016	2.227980688303367e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	21	21	1.7249136530485	0.1816680316175139	9.4948662001257	2.2049436015132293e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	22	22	1.7237186248723328	0.1815274258299072	9.495637460795994	2.188681045643344e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	23	23	1.7224847437061008	0.181380760420578	9.496512969248098	2.1703641163468625e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	24	24	1.6921204225914988	0.1790095734767529	9.452681159598685	3.3026070700850066e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-12	-12	-0.3450094087994575	0.1324921812848235	-2.603998254491543	0.0092143226063547	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-11	-11	-0.3542059496633908	0.1327967501339067	-2.6672787497150656	0.0076468219353455	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-10	-10	-0.2531082849636235	0.1315248438546444	-1.9244142592812947	0.054302678516616	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-9	-9	0.914084930552456	0.6615231659894978	1.381788238942743	0.1670367312892537	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-8	-8	0.795028016527286	0.5962609380271804	1.3333558612069352	0.182415049966253	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-7	-7	0.6759439288439854	0.5313517850237855	1.2721213100163524	0.2033300207397481	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-6	-6	0.5682548243200385	0.473142996090704	1.2010213170546458	0.22974293241748	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-5	-5	0.4490521685143956	0.4093899752259842	1.0968812029813817	0.2726933267201933	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-4	-4	0.333543864090648	0.3487368627779506	0.9564342049582056	0.3388529105622578	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-3	-3	0.2140104762148593	0.2878379919195959	0.7435101766365872	0.4571728625903574	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	-2	-2	0.1203993519346644	0.2319298815065875	0.5191196199151454	0.6036773272269871	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	0	0	-0.1212693417821615	0.1414774150100414	-0.8571639634040131	0.3913542752963673	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	1	1	-0.1798838971156909	0.1276483242715347	-1.4092147166228386	0.1587716874288341	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	2	2	-0.3046374998576384	0.1447821794327488	-2.1041090902982456	0.0353689320825504	1	482	38	444	HC1		0.797636672896253
